2019,,,2020,,,2021,,,2022,,,2023,,,,2024,,
Davante Adams,,,Saquon Barkley,,,Ezekiel Elliott,,,Alvin kamara,,,Justin Jefferson,,,,Jonathan Taylor,14,25
Joe Mixon,,,Julio Jones,,,Justin Jefferson,,,Travis kelce,,,Mark Andrews,,,,Isiah Pacheco,236,25
Stefon Diggs,,,Todd Gurley II,,,James Robinson,,,keenan Allen,,,Najee Harris,,,,Davante Adams,46,32
O.J. Howard,,,David Montgomery,,,kyle Pitts,,,"DJ MooreChi,",,,Trevor Lawrence,,,,Mike Evans,35,31
Duke Johnson,,,Amari Cooper,,,Julio Jones,,,Justin Herbert,,,Amari Cooper,,,,Rashee Rice,245,24
Marlon Mack,,,Carson Wentz,,,Russell Wilson,,,Dameon Pierce,,,Christian kirk,,,,Terry McLaurin,23,29
Emmanuel Sanders,,,keenan Allen,,,kenny Golladay,,,Michael Thomas,,,Alvin kamara,,,,Kyle Pitts,151,26
Latavius Murray,,,Marlon Mack,,,Melvin Gordon III,,,Chris Godwin,,,Michael Pittman Jr.,,,,Nick Chubb,211,29
Curtis Samuel,,,Eric Ebron,,,Michael Carter,,,Nyheim Hines,,,Jamaal Williams,,,,Justin Herbert,71,26
Ben Roethlisberger,,,Adrian Peterson,,,DeVante Parker,,,Melvin Gordon III,,,Ezekiel Elliott,,,,Dallas Goedert,198,29
Tyrell Williams,,,Hunter Henry,,,David Johnson,,,Colts ,,,Eagles ,,,,Aaron Rodgers,77,41
Giovani Bernard,,,Colts,,,Tony Pollard,,,kadarius Toney,,,Elijah Mitchell,,,,Ezekiel Elliott,230,29
Adam Humphries,,,Brandon Aiyuk,,,Hunter Henry,,,Treylon Burks,,,Greg Dulcich,,,,Mike Williams,263,30
alen Ballage,,,N'eal Harry,,,Colts ,,,Jarvis Landry,,,Greg Zuerlein,,,,Trey Benson,244,21
Adam Vinatieri,,,Allen Lazard,,,Tyrell Williams,,,Matt Gay,,,Derek Carr,,,,Colts ,,
Seahawks,,,Matt Gay,,,Rodrigo Blankenship,,,Alec Pierce,,,Chigoziem Okonkwo,,,,Matt Gay,0,0
