Round1,Odds1,Round2,Odds2,Round3,Odds3,Round4,Odds4,Round5,Odds5,Round6,Odds6,Round7,Odds7,Round8,Odds8,Round9,Odds9,Round10,Odds10,Round11,Odds11,Round12,Odds12,Round13,Odds13,Round14,Odds14,Round15,Odds15,Round16,Odds16
Ja'Marr Chase ,72.29,Chase Brown ,22.77,Lamar Jackson ,19.56,Najee Harris ,16.48,Baker Mayfield ,15.79,Jonnu Smith ,14.86,Brian Robinson Jr.  ,9.41,Jalen McMillan ,10.8,Khalil Shakir ,14.32,Luther Burden III ,15.3,Keon Coleman ,20.53,Matthew Stafford ,32.76,Travis Hunter ,22.38,Wil Lutz ,9.52,Buffalo Bills ,6.79,Xavier Legette ,17.96
Justin Jefferson ,27.71,Joe Mixon ,22.04,Drake London ,16.8,Alvin Kamara ,15.28,Patrick Mahomes II ,14.55,Tucker Kraft ,14.67,Rhamondre Stevenson ,9.15,Rome Odunze ,10.27,Jerry Jeudy ,13.71,Josh Downs ,14.45,Cooper Kupp ,10.75,Jake Bates ,9.7,Bryce Young ,6.91,Seattle Seahawks ,8.59,Marvin Mims Jr. ,6.77,DeAndre Hopkins ,9.22
,,James Cook ,16.53,Tee Higgins ,14.17,Jayden Daniels ,10.17,Mark Andrews ,14.51,Tyler Warren ,10.3,Rome Odunze ,7.51,Tank Bigsby ,10.24,Darnell Mooney ,13.01,Keenan Allen ,13.81,Quentin Johnston ,10.63,C.J. Stroud ,8.32,Minnesota Vikings ,6.25,Ka'imi Fairbairn ,6.98,Marquise Brown ,6.6,Matthew Stafford ,8.61
,,James Conner ,14.93,Ladd McConkey ,13.75,Jalen Hurts ,9.66,Trey McBride ,11.31,Brian Robinson Jr.  ,10.1,Tony Pollard ,7.18,Jakobi Meyers ,8.09,Ricky Pearsall ,11.49,Christian Kirk ,11.3,Pittsburgh Steelers  ,10.51,Cameron Dicker ,7.27,Marvin Mims Jr. ,6.13,Buffalo Bills ,6.35,Anthony Richardson ,6.23,Marquise Brown ,8.54
,,Breece Hall ,8.17,Josh Allen ,9.37,Baker Mayfield ,9.42,T.J. Hockenson ,9.77,David Njoku ,8.89,George Pickens ,6.86,Jaylen Warren ,7.85,Jalen McMillan ,9.57,Cooper Kupp ,9.92,Christian Kirk ,9.02,Tua Tagovailoa ,7.11,Jake Bates ,5.55,Cedric Tillman ,6.16,Isaiah Bond ,6.02,Geno Smith ,6.89
,,Christian McCaffrey ,8.17,A.J. Brown ,8.24,David Montgomery ,8.03,Jalen Hurts ,8.91,Tony Pollard ,8.03,Tyler Warren ,6.76,Emeka Egbuka ,5.63,Jauan Jennings ,7.79,Stefon Diggs ,7.39,Stefon Diggs ,8.36,Justin Fields ,5.45,Quentin Johnston ,5.12,New York Jets ,5.8,Los Angeles Chargers ,5.93,Jack Bech ,6.45
,,Chuba Hubbard ,3.11,Malik Nabers ,6.76,Aaron Jones Sr. ,7.33,Jayden Daniels ,8.77,Omarion Hampton ,6.95,Isiah Pacheco ,6.05,Travis Kelce ,4.89,Brandon Aiyuk ,6.1,Darnell Mooney ,6.56,Denver Broncos ,6.01,Baltimore Ravens ,5.13,Matthew Stafford ,4.01,Jayden Higgins ,5.26,Jayden Higgins ,5.79,Houston Texans ,5.96
,,Kyren Williams ,2.67,Terry McLaurin ,4.51,James Conner ,6.61,Joe Burrow ,3.91,Evan Engram ,4.84,TreVeyon Henderson  ,5.85,Tucker Kraft ,3.61,Cooper Kupp ,4.76,Kyle Pitts ,4.55,Michael Pittman Jr. ,5.6,Minnesota Vikings ,3.86,Trevor Lawrence ,3.74,Matthew Stafford ,5.07,Justin Fields ,5.62,Michael Penix Jr. ,5.07
,,,,Jaxon Smith-Njigba ,3.4,Patrick Mahomes II ,4.11,Bo Nix ,3.58,T.J. Hockenson ,4.58,Jayden Reed ,4.35,Jerry Jeudy ,3.14,Josh Downs ,3.74,Michael Pittman Jr. ,3.52,Matthew Golden ,4.73,Trevor Lawrence ,3.67,Matthew Golden ,3.64,Evan McPherson ,4.34,New York Jets ,4.79,Justin Fields ,5.05
,,,,Amon-Ra St. Brown ,1.79,Chuba Hubbard ,3.62,Jonnu Smith ,3.5,Mark Andrews ,4.23,Calvin Ridley ,4.2,Josh Downs ,3.04,Travis Etienne Jr. ,2.79,Matthew Golden ,1.95,Rashod Bateman ,4.21,Kansas City Chiefs ,3.59,Tre Harris ,3.64,Alec Pierce ,3.66,Seattle Seahawks ,4.47,Green Bay Packers ,4.38
,,,,,,Joe Burrow ,3.35,Jared Goff ,3.32,Travis Kelce ,4.19,Omarion Hampton ,4.04,Jauan Jennings ,2.91,Rashid Shaheed ,1.87,Tyjae Spears  ,1.69,Marvin Mims Jr. ,3.57,Philadelphia Eagles  ,3.05,Keenan Allen ,3.63,Chris Boswell ,3.64,Ka'imi Fairbairn ,4.46,Anthony Richardson ,3.63
,,,,,,Kenneth Walker III ,1.55,,,Tyrone Tracy Jr. ,2.09,Jonnu Smith ,4.04,D'Andre Swift ,2.78,Luther Burden III ,1.11,,,Luther Burden III ,1.96,Dak Prescott ,1.86,Detroit Lions ,3.16,Romeo Doubs ,3.36,Alec Pierce ,4.44,Cleveland Browns ,3.15
,,,,,,Lamar Jackson ,1.44,,,Najee Harris ,1.85,Chris Olave ,3.34,Ricky Pearsall ,2.75,,,,,Darnell Mooney ,1.61,Michael Penix Jr. ,1.52,Kansas City Chiefs ,2.49,Justin Fields ,2.68,Houston Texans ,3.87,Andrei Iosivas ,2.49
,,,,,,Tyrone Tracy Jr. ,1.41,,,Dalton Kincaid ,1.45,Travis Kelce ,3.11,Deebo Samuel Sr. ,2.59,,,,,,,Detroit Lions ,1.41,Brandon Aubrey ,2.37,Houston Texans ,2.62,Cedric Tillman ,2.99,Harrison Butker ,2.48
,,,,,,,,,,Trey McBride ,1.17,T.J. Hockenson ,2.76,Khalil Shakir ,2.21,,,,,,,Geno Smith ,1.28,Tua Tagovailoa ,2.36,Anthony Richardson ,2.61,Matthew Stafford ,2.64,Seattle Seahawks ,2.11
