Jahmyr Gibbs,CeeDee Lamb,Justin Jefferson,Bijan Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.22,21.16,20.17,7.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Mixon,Drake London,De'Von Achane,Brian Thomas Jr.,Malik Nabers,A.J. Brown,James Cook,Nico Collins,Ladd McConkey,Chase Brown,Breece Hall,Kyren Williams,Christian McCaffrey,Amon-Ra St. Brown,Puka Nacua,,,,,,,,,,,,,,,,,
17.09,16.97,12.13,11,6.97,5.87,5.72,5.34,4.68,3.8,2.56,1.95,1.64,1.36,1.13,,,,,,,,,,,,,,,,,
Drake London,Josh Allen,Breece Hall,Kenneth Walker III,Joe Mixon,Lamar Jackson,George Kittle,Chuba Hubbard,James Conner,Christian McCaffrey,Mark Andrews,Mike Evans,Jayden Daniels,Tee Higgins,Chase Brown,Ladd McConkey,Malik Nabers,,,,,,,,,,,,,,,
22.06,16.15,8.11,7.66,6.83,6.26,4.59,4.48,3.6,3.3,3.23,1.87,1.63,1.56,1.47,1.45,1.36,,,,,,,,,,,,,,,
Zay Flowers,Trey McBride,Mark Andrews,Jayden Daniels,Sam LaPorta,Davante Adams,Joe Burrow,Lamar Jackson,James Conner,David Montgomery,Aaron Jones Sr.,Jalen Hurts,George Kittle,Garrett Wilson,T.J. Hockenson,Chuba Hubbard,Kenneth Walker III,Courtland Sutton,,,,,,,,,,,,,,
20.26,14.47,13.06,8.09,6.3,5.56,4.08,3.73,2.76,2.51,2.32,2.04,1.53,1.46,1.45,1.43,1.43,1.21,,,,,,,,,,,,,,
Sam LaPorta,Alvin Kamara,Jordan Addison,Najee Harris,Jameson Williams,David Montgomery,Mark Andrews,Tyrone Tracy Jr.,Courtland Sutton,Jared Goff,James Conner,DJ Moore,Zay Flowers,Jalen Hurts,Joe Burrow,Garrett Wilson,Aaron Jones Sr.,Jonnu Smith,Joe Mixon,T.J. Hockenson,Trey McBride,Baker Mayfield,Rashee Rice,,,,,,,,,
12.15,10.41,9.79,6.55,5.8,5.02,4.9,4.46,3.56,3.45,3.38,3.35,3.23,2.81,2.65,2.63,2.1,2.01,1.8,1.77,1.17,1.09,1.03,,,,,,,,,
Tony Pollard,George Pickens,Najee Harris,Tetairoa McMillan,DK Metcalf,Brian Robinson Jr.,Chris Godwin,Chris Olave,Jayden Reed,Aaron Jones Sr.,Omarion Hampton,Tyrone Tracy Jr.,DeVonta Smith,Isiah Pacheco,Jaylen Waddle,,,,,,,,,,,,,,,,,
16.09,14.28,13.6,9.64,9.42,5.25,5,4.86,4.27,3.86,2.91,2.26,2.19,1.95,1.22,,,,,,,,,,,,,,,,,
