Round1,Odds1,Round2,Odds2,Round3,Odds3,Round4,Odds4,Round5,Odds5,Round6,Odds6,Round7,Odds7,Round8,Odds8,Round9,Odds9,Round10,Odds10,Round11,Odds11,Round12,Odds12,Round13,Odds13,Round14,Odds14,Round15,Odds15,Round16,Odds16
Puka Nacua ,20.33,Josh Allen ,26.51,Mike Evans ,12.89,Davante Adams ,14.5,Tony Pollard ,14.25,DK Metcalf ,8.39,Kyler Murray ,8.1,Tucker Kraft ,7.34,Ricky Pearsall ,7.76,Rico Dowdle ,9.77,Pittsburgh Steelers  ,9.3,Kyle Pitts ,10.1,Kaleb Johnson ,11.49,Geno Smith ,7.12,Cam Skattebo ,6.93,Harrison Butker ,12.2
Jonathan Taylor ,18.84,Amon-Ra St. Brown ,15.35,Chuba Hubbard ,11.94,Jaxon Smith-Njigba ,13.89,Mark Andrews ,13.89,Brian Robinson Jr.  ,8.37,Chris Olave ,7.72,David Njoku ,7.28,Deebo Samuel Sr. ,7.36,Dak Prescott ,9.29,Trevor Lawrence ,9.14,Minnesota Vikings ,7.43,Cameron Dicker ,6.07,Hunter Henry ,6.4,Romeo Doubs ,6.31,Braelon Allen ,10.78
CeeDee Lamb ,16.32,A.J. Brown ,14.9,Brock Bowers ,10.41,Courtland Sutton  ,11.4,Tyrone Tracy Jr. ,10.67,Joe Burrow ,8.21,Deebo Samuel Sr. ,7.36,Ricky Pearsall ,5.74,Dalton Kincaid ,7.12,Quinshon Judkins ,7.79,Brock Purdy ,8.83,Jake Bates ,6.93,Detroit Lions ,6.04,Kaleb Johnson ,6.01,Zach Ertz  ,5.36,Audric Estime ,10.15
Nico Collins ,15.65,Nico Collins ,9.8,Tyreek Hill ,7.11,Lamar Jackson ,10.41,Jonnu Smith ,8.56,David Montgomery ,7.12,Justin Herbert ,6.16,Evan Engram ,5.49,Cooper Kupp ,6.3,D'Andre Swift ,7.48,Kyle Pitts ,8.2,Trevor Lawrence ,6.86,Justin Fields ,5.02,Blake Corum ,5.81,Evan McPherson ,4.96,Isaac Guerendo ,9.4
Ashton Jeanty ,9.06,Puka Nacua ,9.14,Kenneth Walker III ,6.35,George Kittle ,7.36,Zay Flowers ,5.86,Aaron Jones Sr. ,6.92,Bo Nix ,6.04,Rome Odunze ,4.88,Khalil Shakir ,5.1,Travis Kelce ,5.26,Dak Prescott ,7.98,Dak Prescott ,6.66,Minnesota Vikings ,3.95,Adam Thielen ,5.59,Trey Benson ,4.58,Evan McPherson ,6.95
Josh Jacobs ,8.96,Brock Bowers ,6.7,Najee Harris ,6.12,Marvin Harrison Jr. ,6.45,Najee Harris ,5.33,Omarion Hampton ,6.88,Brian Robinson Jr.  ,5.68,Deebo Samuel Sr. ,4.15,Jalen McMillan ,4.55,Tyjae Spears  ,5.09,Matthew Golden ,6.7,C.J. Stroud ,4.76,Kansas City Chiefs ,3.37,Jake Ferguson ,5.42,Isaiah Bond ,4.33,Devin Neal ,6.82
Derrick Henry ,4.34,Brian Thomas Jr. ,5.88,Joe Mixon ,6.01,Garrett Wilson ,5.94,DJ Moore ,5.33,Tony Pollard ,6.77,Jayden Reed ,5.38,Jerry Jeudy ,4.08,Drake Maye ,4.07,Tyler Allgeier ,3.85,Baltimore Ravens ,5.78,Philadelphia Eagles  ,4.7,Adam Thielen ,3.34,Zach Ertz  ,5.27,Isaac Guerendo ,4.22,Jake Ferguson ,6.49
Justin Jefferson ,3.6,CeeDee Lamb ,3.89,Alvin Kamara ,5.81,Sam LaPorta ,5.56,Aaron Jones Sr. ,4.82,Baker Mayfield ,6.16,Isiah Pacheco ,5.29,Travis Kelce ,4.04,Rashid Shaheed ,4.01,Colston Loveland ,3.78,Pat Freiermuth ,4.94,Drake Maye ,4.58,Kyle Pitts ,3.24,Austin Ekeler ,4.45,Devin Neal ,3.91,Jake Elliott ,6.01
Amon-Ra St. Brown ,1.52,Malik Nabers ,3.47,James Conner ,4.03,Tyreek Hill ,3.67,Jameson Williams ,4.34,Patrick Mahomes II ,5.56,Jared Goff ,4.76,Emeka Egbuka ,3.9,Evan Engram ,3.71,Stefon Diggs ,3.74,Stefon Diggs ,4.6,Jerome Ford ,4.45,Matthew Stafford ,2.91,Travis Hunter ,3.95,Xavier Legette ,3.78,Hunter Henry ,3.69
Jahmyr Gibbs ,1.38,George Kittle ,2.33,Christian McCaffrey ,3.72,Mark Andrews ,3.27,Xavier Worthy ,3.79,DeVonta Smith ,5.37,Emeka Egbuka ,4.29,Tank Bigsby ,3.4,Luther Burden III ,3.63,Rachaad White ,3.7,Hunter Henry ,4.44,Zach Ertz  ,4.45,Tre Harris ,2.85,Chris Boswell ,3.64,Jason Sanders ,3.74,Houston Texans ,2.8
