Round1,Odds1,Round2,Odds2,Round3,Odds3,Round4,Odds4,Round5,Odds5,Round6,Odds6,Round7,Odds7,Round8,Odds8,Round9,Odds9,Round10,Odds10,Round11,Odds11,Round12,Odds12,Round13,Odds13,Round14,Odds14,Round15,Odds15,Round16,Odds16
CeeDee Lamb ,28.15,Kyren Williams ,16.76,Terry McLaurin ,14.76,David Montgomery ,16.27,Zay Flowers ,17.35,Jared Goff ,13.2,Rome Odunze ,11.56,Jaylen Warren ,9.62,Evan Engram ,8.42,Cooper Kupp ,9.14,Michael Pittman Jr. ,11.73,Jerome Ford ,14.54,Marvin Mims Jr. ,11.46,Los Angeles Chargers ,14.65,Jason Sanders ,11.96,Audric Estime ,9.94
Jonathan Taylor ,24.76,Amon-Ra St. Brown ,16.25,Joe Mixon ,13.77,Jameson Williams ,14.43,Jameson Williams ,17.04,Kyler Murray ,12.45,D'Andre Swift ,11.25,Tucker Kraft ,9.58,Rico Dowdle ,8.34,Khalil Shakir ,8.3,Darnell Mooney ,10.71,Javonte Williams ,14.29,Stefon Diggs ,10.82,Houston Texans ,11.38,Tre Harris ,10.44,Harrison Butker ,8.97
Puka Nacua ,14.41,Chase Brown ,11.8,Mike Evans ,13.03,Courtland Sutton  ,12.48,DeVonta Smith ,13.74,Baker Mayfield ,11.06,Jerry Jeudy ,10.07,Travis Kelce ,7.89,Jaylen Warren ,8.28,Christian Kirk ,7.8,Rachaad White ,10.47,Cedric Tillman ,12.02,Ray Davis ,10.03,Wil Lutz ,11.12,Houston Texans ,9.81,Devin Neal ,8.02
Josh Jacobs ,12.35,De'Von Achane ,9.54,Jaxon Smith-Njigba ,8.85,Mike Evans ,11.29,Alvin Kamara ,11.33,David Njoku ,10.3,Bo Nix ,9.27,Tank Bigsby ,7.61,Rhamondre Stevenson ,7.2,Michael Pittman Jr. ,7.66,Keenan Allen ,8.52,Rachaad White ,10.84,Tre Harris ,9.41,Cameron Dicker ,9.91,Ka'imi Fairbairn ,9,DeAndre Hopkins ,8.01
Justin Jefferson ,7.94,Breece Hall ,8.92,Malik Nabers ,8.54,Tyreek Hill ,8.12,Jordan Addison ,7.63,Patrick Mahomes II ,10.01,Isiah Pacheco ,6.66,David Njoku ,7.16,Jakobi Meyers ,6.31,Rachaad White ,7.52,Christian Kirk ,7.65,Dallas Goedert ,8.91,Kaleb Johnson ,7.53,Minnesota Vikings ,6.84,Wil Lutz ,8.44,Braelon Allen ,6.96
Derrick Henry ,5.67,Christian McCaffrey ,7.04,Chuba Hubbard ,6.25,Marvin Harrison Jr. ,7.06,Tony Pollard ,6.64,Tyler Warren ,8.55,Jaylen Waddle ,5.91,D'Andre Swift ,6.94,Zach Charbonnet ,5.46,Darnell Mooney ,6.89,Tyler Allgeier ,5.91,Marvin Mims Jr. ,7.34,Keenan Allen ,6.58,Amari Cooper  ,6.82,Trey Benson ,6.76,Houston Texans ,6.84
Jahmyr Gibbs ,3.82,James Cook ,7.04,Christian McCaffrey ,6.16,Davante Adams ,4.19,DJ Moore ,4.61,Bo Nix ,7.56,Jared Goff ,5,Tyjae Spears  ,5.3,Rashid Shaheed ,4.85,Stefon Diggs ,6.76,Kaleb Johnson ,5.3,Austin Ekeler ,4.84,Romeo Doubs ,5.18,Chris Boswell ,5.39,Dylan Sampson ,4.6,Chase McLaughlin ,5.75
Nico Collins ,2.9,Brian Thomas Jr. ,5.48,Tee Higgins ,4.96,James Conner ,4.15,Aaron Jones Sr. ,3.82,T.J. Hockenson ,6.06,Chris Olave ,4.86,Jared Goff ,5.28,Dalton Kincaid ,4.64,J.K. Dobbins  ,5.91,Matthew Golden ,5.14,J.K. Dobbins  ,3.8,Rashod Bateman ,4.33,New York Jets ,4.16,New York Jets ,4.14,Jaleel McLaughlin ,5.69
,,Nico Collins ,4.24,Breece Hall ,4.42,Garrett Wilson ,4.09,Najee Harris ,3.41,Jonnu Smith ,5.44,Calvin Ridley ,4.48,Tyler Warren ,5.24,Jauan Jennings ,4.35,Rico Dowdle ,5.41,Blake Corum ,4.97,Ray Davis ,2.14,Cam Skattebo ,3.75,Marvin Mims Jr. ,2.46,Buffalo Bills ,3.77,Jake Elliott ,4.3
,,Puka Nacua ,4.13,Kenneth Walker III ,4.29,Tyrone Tracy Jr. ,3.12,Rashee Rice ,3.04,Travis Kelce ,3.95,TreVeyon Henderson  ,3.97,Kyler Murray ,4.8,Travis Etienne Jr. ,4.34,Rashid Shaheed ,5.02,Stefon Diggs ,4.66,Blake Corum ,2.13,Travis Hunter ,3.61,Austin Ekeler ,2.43,Cleveland Browns ,2.65,Jason Sanders ,3.56
,,A.J. Brown ,3.16,Chase Brown ,3.57,Kenneth Walker III ,3.07,Xavier Worthy ,2.92,Trey McBride ,3.3,Deebo Samuel Sr. ,3.11,TreVeyon Henderson  ,3.21,Tyjae Spears  ,3.97,Jordan Love ,4.95,Rashod Bateman ,3.81,Quentin Johnston ,2.1,Blake Corum ,3.19,Jayden Higgins ,1.9,Cam Skattebo ,2.58,Nick Chubb ,3.48
