Round1,Odds1,Round2,Odds2,Round3,Odds3,Round4,Odds4,Round5,Odds5,Round6,Odds6,Round7,Odds7,Round8,Odds8,Round9,Odds9,Round10,Odds10,Round11,Odds11,Round12,Odds12,Round13,Odds13,Round14,Odds14,Round15,Odds15,Round16,Odds16
Derrick Henry ,42.56,A.J. Brown ,21.79,Brock Bowers ,17.44,Garrett Wilson ,10.28,Aaron Jones Sr. ,15.4,Tetairoa McMillan  ,12.76,Calvin Ridley ,16.14,Justin Herbert ,11.2,Quinshon Judkins ,13.18,Rachaad White ,12.5,Colston Loveland ,12.17,Trevor Lawrence ,7.03,Detroit Lions ,7.16,Austin Ekeler ,9.25,Amari Cooper  ,7.99,Jake Elliott ,22.15
Jahmyr Gibbs ,37.11,Brian Thomas Jr. ,20.94,Tee Higgins ,15.08,Sam LaPorta ,9,Najee Harris ,13.29,Xavier Worthy ,11.35,Chris Godwin ,15.48,Caleb Williams ,10.62,Tyjae Spears  ,12.36,Tyler Allgeier ,11.68,Blake Corum ,9.99,Anthony Richardson ,5.59,New York Jets ,7.16,Wil Lutz ,7.06,Zach Ertz  ,6.91,Alec Pierce ,15.26
Jonathan Taylor ,11.76,Malik Nabers ,14.86,Terry McLaurin ,11.04,Trey McBride ,8.99,Baker Mayfield ,11.74,Patrick Mahomes II ,9.3,Emeka Egbuka ,13.6,Josh Downs ,10.51,Rhamondre Stevenson ,11.16,Zach Charbonnet ,9.68,Tre Harris ,9.93,Drake Maye ,5.2,Jerome Ford ,5.9,Hunter Henry ,6.8,Buffalo Bills ,5.9,Chase McLaughlin ,9.99
Bijan Robinson ,8.57,Amon-Ra St. Brown ,13.32,Mike Evans ,10.47,Jameson Williams ,8.38,Tyrone Tracy Jr. ,8.81,Kyler Murray ,7.87,Jaylen Waddle ,12.07,Deebo Samuel Sr. ,8.36,Rashid Shaheed ,10.78,Travis Etienne Jr. ,8.55,Tyjae Spears  ,6.51,Hunter Henry ,5.06,Tyler Allgeier ,5.69,Jerome Ford ,6.55,Houston Texans ,5.13,Harrison Butker ,5.01
,,Joe Mixon ,7.05,A.J. Brown ,8.58,Jaxon Smith-Njigba ,7.95,David Montgomery ,8.54,Jared Goff ,5.26,Kyler Murray ,9.39,Emeka Egbuka ,8.17,Zach Charbonnet ,7.99,Jordan Mason ,7.09,Stefon Diggs ,5.83,Tua Tagovailoa ,5.06,Hunter Henry ,5.57,Kaleb Johnson ,6.5,Alec Pierce ,4.88,Jason Sanders ,4.47
,,Nico Collins ,6.59,Malik Nabers ,8.56,Jalen Hurts ,7.9,Jameson Williams ,6.9,Jonnu Smith ,4.78,George Pickens ,7.57,Brandon Aiyuk ,5.66,Rachaad White ,6.54,Michael Pittman Jr. ,5.13,Dallas Goedert ,5.18,Ray Davis ,4.78,Baltimore Ravens ,5.04,Chris Boswell ,5.95,Jason Sanders ,3.98,Xavier Legette ,3.83
,,Kyren Williams ,2.83,George Kittle ,7.56,Courtland Sutton  ,6.91,Jalen Hurts ,6.7,Bo Nix ,3.93,Rome Odunze ,5.53,Travis Etienne Jr. ,5.57,Travis Etienne Jr. ,4.51,Blake Corum ,4.28,J.K. Dobbins  ,4.56,Kyle Pitts ,3.91,Cameron Dicker ,4.98,Detroit Lions ,4.87,Anthony Richardson ,3.52,DeAndre Hopkins ,3.82
,,Drake London ,2.48,Ladd McConkey ,5.4,Jayden Daniels ,6.37,Alvin Kamara ,5.91,Aaron Jones Sr. ,3.53,Justin Herbert ,3.86,Jaylen Waddle ,3.58,D'Andre Swift ,3.68,Cooper Kupp ,4.18,Jordan Mason ,3.48,Dallas Goedert ,3.84,Kansas City Chiefs ,4.24,Matthew Stafford ,4.24,Isaac Guerendo ,3.52,Isaiah Bond ,3.57
,,De'Von Achane ,2.05,Sam LaPorta ,4.91,Davante Adams ,5.89,James Conner ,4.48,DeVonta Smith ,3.49,Chris Olave ,2.53,Jerry Jeudy ,3.43,Khalil Shakir ,2.18,Jordan Love ,4.02,Javonte Williams ,3.06,Zach Ertz  ,3.74,Minnesota Vikings ,4.13,Ka'imi Fairbairn ,3.7,Evan McPherson ,3.5,Marquise Brown ,2.93
,,Breece Hall ,1.94,Jaxon Smith-Njigba ,4.07,Marvin Harrison Jr. ,5.78,Zay Flowers ,2.97,Tyler Warren ,3.41,Jerry Jeudy ,2.07,Jordan Love ,3.31,Justin Herbert ,1.9,Brock Purdy ,3.72,Dak Prescott ,3.04,Blake Corum ,3.35,Buffalo Bills ,4.06,Trey Benson ,3.43,Jayden Higgins ,3.28,Zach Ertz  ,2.78
,,Christian McCaffrey ,1.73,Mark Andrews ,2.2,Lamar Jackson ,3.5,Tony Pollard ,2.15,Chris Olave ,3.21,Jayden Reed ,2.03,Jauan Jennings ,2.95,TreVeyon Henderson  ,1.88,Tyjae Spears  ,3.41,Kyle Pitts ,2.47,Minnesota Vikings ,3.03,Austin Ekeler ,3.74,Pat Freiermuth ,3.42,Justin Fields ,3.15,Audric Estime ,2.35
,,Chase Brown ,1.5,Trey McBride ,1.63,George Kittle ,3.32,Joe Burrow ,2.1,DK Metcalf ,3.11,Bo Nix ,1.78,Khalil Shakir ,2.67,Stefon Diggs ,1.86,Keon Coleman ,2.96,Pittsburgh Steelers  ,2.4,Jerome Ford ,2.92,Jake Bates ,3.47,Los Angeles Chargers ,3.37,Ka'imi Fairbairn ,3.12,Braelon Allen ,1.92
,,Ladd McConkey ,1.04,Tyreek Hill ,1.26,Josh Allen ,3.31,Jared Goff ,1.65,Chris Godwin ,2.68,Tetairoa McMillan  ,1.48,TreVeyon Henderson  ,2.42,Rico Dowdle ,1.81,Rico Dowdle ,2.43,Evan Engram ,2.35,Travis Hunter ,2.62,Trevor Lawrence ,3.03,Zach Ertz  ,2.91,Michael Penix Jr. ,3.09,Cam Skattebo ,1.73
,,,,,,Baker Mayfield ,3.16,Kyler Murray ,1.59,Baker Mayfield ,2.61,DK Metcalf ,1.46,Jakobi Meyers ,1.95,Jaylen Warren ,1.81,Quinshon Judkins ,2.16,Tyler Allgeier ,2,C.J. Stroud ,2.61,Pat Freiermuth ,2.69,Jaylen Wright ,2.82,Geno Smith ,2.94,Jayden Higgins ,1.67
,,,,,,Tyreek Hill ,2.98,Patrick Mahomes II ,1.37,Justin Herbert ,2.49,Deebo Samuel Sr. ,1.4,D'Andre Swift ,1.87,Ricky Pearsall ,1.63,Rashid Shaheed ,2.13,Travis Kelce ,1.91,Dak Prescott ,2.6,Isaac Guerendo ,2.64,Buffalo Bills ,2.76,Austin Ekeler ,2.93,Green Bay Packers ,1.66
,,,,,,Patrick Mahomes II ,1.38,Rashee Rice ,1.24,David Njoku ,2.43,,,Calvin Ridley ,1.8,C.J. Stroud ,1.62,Josh Downs ,2.01,Pat Freiermuth ,1.84,Jaylen Wright ,2.58,Quentin Johnston ,2.4,Javonte Williams ,2.5,Dallas Goedert ,2.53,Devin Neal ,1.45
,,,,,,Joe Burrow ,1.34,,,Mark Andrews ,2.36,,,Jaylen Warren ,1.67,Evan Engram ,1.5,Jauan Jennings ,1.94,Dalton Kincaid ,1.76,Keenan Allen ,2.37,Javonte Williams ,2.19,Minnesota Vikings ,2.42,Seattle Seahawks ,2.5,Isaac Guerendo ,1.4
,,,,,,,,,,Tony Pollard ,2.04,,,Rome Odunze ,1.59,Jordan Love ,1.5,J.K. Dobbins  ,1.65,Michael Pittman Jr. ,1.62,Pat Freiermuth ,2.28,Blake Corum ,1.99,Anthony Richardson ,2.08,Romeo Doubs ,2.22,Seattle Seahawks ,1.35
,,,,,,,,,,Travis Kelce ,1.76,,,Rhamondre Stevenson ,1.58,Luther Burden III ,1.17,Luther Burden III ,1.45,Baltimore Ravens ,1.62,Kansas City Chiefs ,2.25,J.K. Dobbins  ,1.87,Isaac Guerendo ,1.84,Kaleb Johnson ,2.2,Jack Bech ,1.35
,,,,,,,,,,Najee Harris ,1.69,,,Jalen McMillan ,1.57,Tank Bigsby ,1.07,C.J. Stroud ,1.32,Trevor Lawrence ,1.57,Tyler Allgeier ,2.23,Romeo Doubs ,1.76,Houston Texans ,1.74,Adam Thielen ,2.18,Nick Chubb ,1.25
,,,,,,,,,,Brock Purdy ,1.68,,,Brock Purdy ,1.56,Brock Purdy ,1.02,Justin Herbert ,1.27,Philadelphia Eagles  ,1.53,Rashod Bateman ,2.09,Ray Davis ,1.67,Chase McLaughlin ,1.62,Trey Benson ,1.99,Houston Texans ,1.02
,,,,,,,,,,Evan Engram ,1.13,,,Kyler Murray ,1.03,,,,,Keenan Allen ,1.46,Javonte Williams ,2.08,Jaylen Wright ,1.57,New York Jets ,1.38,Tre Harris ,1.79,,
,,,,,,,,,,Jordan Love ,1.12,,,Tank Bigsby ,1.02,,,,,Drake Maye ,1.37,Quentin Johnston ,2.05,Anthony Richardson ,1.23,Cole Kmet ,1.31,Chase McLaughlin ,1.6,,
,,,,,,,,,,,,,,,,,,,,Matthew Golden ,1.13,Christian Kirk ,1.81,Chris Boswell ,1.2,Dallas Goedert ,1.26,Bryce Young ,1.49,,
,,,,,,,,,,,,,,,,,,,,C.J. Stroud ,1.11,Michael Pittman Jr. ,1.76,Los Angeles Chargers ,1.16,Audric Estime ,1.19,Green Bay Packers ,1.42,,
,,,,,,,,,,,,,,,,,,,,Rachaad White ,1.09,Matthew Golden ,1.45,Kaleb Johnson ,1.15,Justin Fields ,1.07,Dylan Sampson ,1.36,,
,,,,,,,,,,,,,,,,,,,,Cooper Kupp ,1.05,Amari Cooper  ,1.38,Cole Kmet ,1.1,Dylan Sampson ,1.04,Isaiah Bond ,1.29,,
,,,,,,,,,,,,,,,,,,,,,,Matthew Stafford ,1.35,,,,,Jaylen Wright ,1.16,,
,,,,,,,,,,,,,,,,,,,,,,J.K. Dobbins  ,1.14,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Kaleb Johnson ,1.14,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Cole Kmet ,1.09,,,,,,,,
