Ashton Jeanty,Josh Jacobs,Jonathan Taylor,Bucky Irving,Derrick Henry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.23,24.42,24.05,8.29,8.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Cook,De'Von Achane,George Kittle,Kyren Williams,Brock Bowers,Chase Brown,Bucky Irving,Ashton Jeanty,Breece Hall,Josh Jacobs,,,,,,,,,,,,,,,,,,,,,,,
22.82,17.76,15.92,14.51,11.37,8.08,4.46,2.47,1.24,1.09,,,,,,,,,,,,,,,,,,,,,,,
James Conner,Sam LaPorta,Joe Mixon,Kenneth Walker III,Chuba Hubbard,David Montgomery,Christian McCaffrey,Alvin Kamara,Mark Andrews,Trey McBride,James Cook,George Kittle,Breece Hall,,,,,,,,,,,,,,,,,,,,
15.86,14.66,13.96,9.56,9.48,8.45,6.88,5.59,4.76,3.88,2.07,1.82,1.01,,,,,,,,,,,,,,,,,,,,
Garrett Wilson,Joe Mixon,Courtland Sutton,David Montgomery,Alvin Kamara,Jalen Hurts,Terry McLaurin,Mike Evans,Tyreek Hill,Davante Adams,Chuba Hubbard,Lamar Jackson,Jayden Daniels,Jaxon Smith-Njigba,Josh Allen,Kenneth Walker III,Najee Harris,James Conner,Marvin Harrison Jr.,Jameson Williams,,,,,,,,,,,,,
10,9.1,9.04,6.66,6.65,6.57,6.44,6.3,5.8,4.89,4.59,3.17,3.12,3.09,3,2.15,2.12,1.39,1.38,1.22,,,,,,,,,,,,,
DeVonta Smith,DK Metcalf,DJ Moore,Jordan Addison,Zay Flowers,Rashee Rice,Xavier Worthy,Tetairoa McMillan,,,,,,,,,,,,,,,,,,,,,,,,,
23.03,22.39,16.34,15.08,8.41,7.97,2.82,2.64,,,,,,,,,,,,,,,,,,,,,,,,,
Tetairoa McMillan,DeVonta Smith,Xavier Worthy,Tony Pollard,DJ Moore,Trey McBride,Chris Olave,Aaron Jones Sr.,Chris Godwin,Tyrone Tracy Jr.,DK Metcalf,Tyler Warren,Najee Harris,Jonnu Smith,David Montgomery,Tucker Kraft,Jordan Addison,,,,,,,,,,,,,,,,
12.02,11.03,10.11,9.9,8.08,7.87,7.02,5.69,4.2,3.89,2.94,2.68,2.44,2.42,2.36,1.3,1.25,,,,,,,,,,,,,,,,
