Round1,Odds1,Round2,Odds2,Round3,Odds3,Round4,Odds4,Round5,Odds5,Round6,Odds6,Round7,Odds7,Round8,Odds8,Round9,Odds9,Round10,Odds10,Round11,Odds11,Round12,Odds12,Round13,Odds13,Round14,Odds14,Round15,Odds15,Round16,Odds16
Nico Collins ,33.43,De'Von Achane ,19.6,Chuba Hubbard ,17.04,Jayden Daniels ,17.37,DJ Moore ,16.7,T.J. Hockenson ,9.64,Tank Bigsby ,11.39,Deebo Samuel Sr. ,7.47,Caleb Williams ,14.44,Brandon Aubrey ,91.89,Dallas Goedert ,17.35,Baltimore Ravens ,9.68,Tre Harris ,11.6,Romeo Doubs ,13.91,Jayden Higgins ,14.93,Isaiah Bond ,17.33
Brock Bowers ,14.33,Nico Collins ,16.85,Kenneth Walker III ,16.1,Joe Burrow ,15.16,Tony Pollard ,15.98,Jordan Addison ,9.64,Justin Herbert ,10.57,Tyler Warren ,6.96,Rachaad White ,14.25,,,Philadelphia Eagles  ,11.73,Keon Coleman ,8.97,Michael Pittman Jr. ,10.78,Keenan Allen ,13.68,Adam Thielen ,14.32,Jayden Higgins ,16.4
Puka Nacua ,11.68,James Cook ,15.31,James Conner ,8.77,Josh Allen ,8.23,DK Metcalf ,12.36,Chris Olave ,9.42,Brandon Aiyuk ,8.38,Tucker Kraft ,6.92,D'Andre Swift ,12.46,,,Baltimore Ravens ,11.7,Adam Thielen ,8.06,Jayden Higgins ,10.72,Los Angeles Chargers ,12.32,Jack Bech ,13.7,Jalen Coker ,16.14
Justin Jefferson ,9.44,Bucky Irving ,8.46,Christian McCaffrey ,7.79,Courtland Sutton  ,6.28,Jordan Addison ,10.55,Tetairoa McMillan  ,8.94,Calvin Ridley ,8.14,Jerry Jeudy ,6.58,Jaylen Warren ,11.8,,,Kyle Pitts ,9.05,Pat Freiermuth ,7.51,Romeo Doubs ,9.14,Amari Cooper  ,10.82,Jaylen Wright ,10.44,Geno Smith ,11.44
Jonathan Taylor ,8.5,Puka Nacua ,8.09,George Kittle ,7.75,Mike Evans ,5.36,Tyrone Tracy Jr. ,6.74,Chris Godwin ,7.11,TreVeyon Henderson  ,5.19,Jordan Love ,5.79,Zach Charbonnet ,8.28,,,Dalton Kincaid ,8.43,Rashod Bateman ,7.03,Detroit Lions ,8.71,Adam Thielen ,9.36,Xavier Legette ,10.05,Marquise Brown ,11.43
Bucky Irving ,6.7,Breece Hall ,7.24,Brock Bowers ,6.06,Garrett Wilson ,5.19,Xavier Worthy ,6.42,DeVonta Smith ,6.92,Isiah Pacheco ,5.06,Emeka Egbuka ,5.65,Tyjae Spears  ,8.2,,,Kansas City Chiefs ,6.87,Philadelphia Eagles  ,6.47,Justin Fields ,6.11,Cedric Tillman ,7.36,Michael Penix Jr. ,6.9,Buffalo Bills ,6.79
Derrick Henry ,4.84,Kyren Williams ,6.56,Sam LaPorta ,5.92,David Montgomery ,5,Omarion Hampton ,6.03,Baker Mayfield ,6.67,Jaylen Warren ,4.87,George Pickens ,5.59,Luther Burden III ,5.04,,,Hunter Henry ,5.1,Travis Hunter ,5.27,Kyle Pitts ,5.69,Quentin Johnston ,5.87,Alec Pierce ,6.36,DeAndre Hopkins ,6.64
Josh Jacobs ,4.41,Chase Brown ,5.02,David Montgomery ,5.92,Lamar Jackson ,4.83,Rashee Rice ,5.69,Kyler Murray ,5.36,Rome Odunze ,4.78,David Njoku ,5.16,Jordan Mason ,4.78,,,Denver Broncos ,3.93,Stefon Diggs ,5.13,Dak Prescott ,3.81,Travis Hunter ,4.7,Anthony Richardson ,3.75,Alec Pierce ,3.27
Amon-Ra St. Brown ,2.69,Christian McCaffrey ,3.7,Trey McBride ,5.55,Davante Adams ,4.26,Zay Flowers ,5.03,Xavier Worthy ,5,Jayden Reed ,4.34,Calvin Ridley ,5.11,Quinshon Judkins ,2.38,,,Pat Freiermuth ,3.8,Dallas Goedert ,5.02,Cedric Tillman ,3.59,Tre Harris ,3.33,Marquise Brown ,3.49,Xavier Legette ,3.16
CeeDee Lamb ,1.68,Ashton Jeanty ,2.68,Lamar Jackson ,3.73,Marvin Harrison Jr. ,4.05,Najee Harris ,4.32,Jonnu Smith ,4.22,Omarion Hampton ,4.32,Bo Nix ,4.56,Rico Dowdle ,2.15,,,Jordan Love ,3.59,Christian Kirk ,4.21,Quentin Johnston ,3.39,Isaiah Bond ,2.37,Isaiah Bond ,1.85,Justin Fields ,1.28
Ashton Jeanty ,1.33,Amon-Ra St. Brown ,1.95,Mark Andrews ,3.45,Alvin Kamara ,3.83,Aaron Jones Sr. ,2.19,Tucker Kraft ,3.98,Jalen McMillan ,3.47,Jakobi Meyers ,4.33,Travis Etienne Jr. ,1.33,,,Dak Prescott ,2.93,Keenan Allen ,4.2,New York Jets ,3.38,Jayden Higgins ,2.19,DeAndre Hopkins ,1.69,Houston Texans ,1.18
,,Brian Thomas Jr. ,1.74,Joe Mixon ,3.2,Najee Harris ,3.72,DeVonta Smith ,2.08,Tyler Warren ,3.4,Jaylen Waddle ,3.3,Brock Purdy ,4.33,Jordan Love ,1.33,,,Pittsburgh Steelers  ,2.81,Tre Harris ,3.23,Cameron Dicker ,2.28,Trevor Lawrence ,1.89,Justin Fields ,1.44,Dontayvion Wicks ,1.13
,,A.J. Brown ,1.34,Jalen Hurts ,2.35,Tyrone Tracy Jr. ,2.71,David Montgomery ,1.93,Patrick Mahomes II ,3.26,Aaron Jones Sr. ,2.96,Brandon Aiyuk ,3.91,Jakobi Meyers ,1.14,,,Colston Loveland ,2.81,Brandon Aubrey ,2.62,Amari Cooper  ,2.2,New York Jets ,1.51,Cam Skattebo ,1.4,,
,,,,Breece Hall ,2.2,Kenneth Walker III ,2.53,Jameson Williams ,1.72,DK Metcalf ,2.96,Bo Nix ,2.68,Khalil Shakir ,3.41,TreVeyon Henderson  ,1.07,,,Caleb Williams ,2.06,C.J. Stroud ,2.15,Los Angeles Chargers ,1.96,Rashod Bateman ,1.49,Amari Cooper  ,1.07,,
,,,,Alvin Kamara ,1.58,Terry McLaurin ,2.09,,,Trey McBride ,2.94,Chris Olave ,2.46,Justin Herbert ,3.1,Josh Downs ,1.05,,,Tua Tagovailoa ,1.74,Dalton Kincaid ,2.09,Marvin Mims Jr. ,1.94,Detroit Lions ,1.2,Cedric Tillman ,1.05,,
,,,,,,Chuba Hubbard ,1.8,,,David Njoku ,1.92,Emeka Egbuka ,2.26,Travis Kelce ,3,Rhamondre Stevenson ,1.01,,,Evan Engram ,1.65,Matthew Golden ,1.83,Matthew Golden ,1.2,,,,,,
,,,,,,Tyreek Hill ,1.65,,,Bo Nix ,1.56,Brian Robinson Jr.  ,2.2,Jalen McMillan ,2.75,,,,,Travis Kelce ,1.25,Quentin Johnston ,1.79,Trevor Lawrence ,1.09,,,,,,
,,,,,,Joe Mixon ,1.44,,,Brock Purdy ,1.48,Rhamondre Stevenson ,1.8,Dak Prescott ,2.63,,,,,,,Hunter Henry ,1.69,Rashod Bateman ,1.06,,,,,,
,,,,,,Jalen Hurts ,1.15,,,Jared Goff ,1.36,George Pickens ,1.79,Caleb Williams ,1.69,,,,,,,Michael Pittman Jr. ,1.68,,,,,,,,
,,,,,,,,,,Jayden Reed ,1.06,Jerry Jeudy ,1.78,Rome Odunze ,1.64,,,,,,,Minnesota Vikings ,1.36,,,,,,,,
,,,,,,,,,,,,Jordan Love ,1.18,T.J. Hockenson ,1.29,,,,,,,Kansas City Chiefs ,1.06,,,,,,,,
,,,,,,,,,,,,,,Jonnu Smith ,1.27,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Jaylen Waddle ,1.23,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Ricky Pearsall ,1.12,,,,,,,,,,,,,,,,
