Round1,Odds1,Round2,Odds2,Round3,Odds3,Round4,Odds4,Round5,Odds5,Round6,Odds6,Round7,Odds7,Round8,Odds8,Round9,Odds9,Round10,Odds10,Round11,Odds11,Round12,Odds12,Round13,Odds13,Round14,Odds14,Round15,Odds15,Round16,Odds16
Josh Jacobs ,22.81,Brian Thomas Jr. ,17.46,Kenneth Walker III ,13.73,Tyreek Hill ,16.05,Jordan Addison ,16.07,Xavier Worthy ,14.66,Emeka Egbuka ,9.38,TreVeyon Henderson  ,9.05,Drake Maye ,6.33,Tyjae Spears  ,20.82,J.K. Dobbins  ,7.29,Blake Corum ,9.88,Jaylen Wright ,7.13,Chris Boswell ,9.25,Houston Texans ,10.32,Hunter Henry ,10.13
Ashton Jeanty ,16.67,De'Von Achane ,15.15,Terry McLaurin ,11.82,Jalen Hurts ,14.42,DJ Moore ,15.03,Rashee Rice ,13.29,Brock Purdy ,8.95,Jaylen Waddle ,9.03,Brandon Aiyuk ,6.05,Jordan Mason ,5.74,Jerome Ford ,7.24,Ray Davis ,9.49,Buffalo Bills ,6.98,Pat Freiermuth ,8.08,Isaac Guerendo ,9.67,Chase McLaughlin ,9.19
Amon-Ra St. Brown ,16.42,Josh Jacobs ,11.13,Jaxon Smith-Njigba ,11.55,Garrett Wilson ,13.67,Chris Godwin ,12.36,Jalen Hurts ,11.22,Jakobi Meyers ,8.52,Khalil Shakir ,7.52,Travis Etienne Jr. ,5.91,Denver Broncos ,5.72,Jordan Mason ,6.93,Tyler Allgeier ,9.16,Alec Pierce ,5.65,Javonte Williams ,7.8,Cole Kmet ,8.41,Jason Sanders ,6.07
De'Von Achane ,9.69,James Cook ,9.78,Chuba Hubbard ,8.33,Josh Allen ,9.51,DeVonta Smith ,9.12,Jared Goff ,10.5,Brian Robinson Jr.  ,6.04,Emeka Egbuka ,6.65,Luther Burden III ,5.85,Dallas Goedert ,4.76,Rashod Bateman ,6.65,Rico Dowdle ,8.02,Adam Thielen ,5.29,J.K. Dobbins  ,7.44,Seattle Seahawks ,7.78,Cam Skattebo ,4.91
Bucky Irving ,9.33,Puka Nacua ,8.14,Drake London ,7.91,Tee Higgins ,9.48,Rashee Rice ,8.61,DK Metcalf ,10.33,Rome Odunze ,5.81,Jordan Love ,6.36,Jauan Jennings ,5.78,Josh Downs ,4.72,Christian Kirk ,6.63,Colston Loveland ,7.91,Zach Ertz  ,5.24,Cole Kmet ,6.08,Dylan Sampson ,7.22,Audric Estime ,4.84
Puka Nacua ,5.69,George Kittle ,7.33,James Conner ,4.93,Terry McLaurin ,5.53,Aaron Jones Sr. ,7.54,Jordan Addison ,7.54,Tank Bigsby ,5.57,Jaylen Warren ,6.16,Caleb Williams ,4.97,Colston Loveland ,4.18,Keenan Allen ,6.37,J.K. Dobbins  ,7.73,Detroit Lions ,5.19,Jaylen Wright ,5.75,Buffalo Bills ,4.88,Seattle Seahawks ,4.8
Nico Collins ,5.34,Kyren Williams ,7.15,Mike Evans ,4.81,Jaxon Smith-Njigba ,5.37,DK Metcalf ,6.81,Tetairoa McMillan  ,7.52,D'Andre Swift ,5.27,Quinshon Judkins ,5.44,Josh Downs ,4.91,Rico Dowdle ,4,Luther Burden III ,5.17,Jaylen Wright ,6.75,Chris Boswell ,4.78,Wil Lutz ,5.62,Harrison Butker ,4.77,Jayden Higgins ,4.54
Kyren Williams ,5.29,Amon-Ra St. Brown ,7.05,Josh Allen ,4.76,Kenneth Walker III ,4.53,Tony Pollard ,6.7,Joe Burrow ,7.19,TreVeyon Henderson  ,5.24,Rhamondre Stevenson ,5.33,Justin Herbert ,4.67,Dalton Kincaid ,3.96,Michael Pittman Jr. ,5.14,Kansas City Chiefs ,5.3,Cole Kmet ,4.33,Cam Skattebo ,4.56,Evan McPherson ,4.35,Houston Texans ,4.37
Jonathan Taylor ,4.29,Chase Brown ,3.55,Tyreek Hill ,4.55,Marvin Harrison Jr. ,3.52,Tyrone Tracy Jr. ,4.06,Kyler Murray ,4.01,Rhamondre Stevenson ,4.78,Brandon Aiyuk ,4.52,Jakobi Meyers ,4.43,Rashid Shaheed ,3.8,Matthew Golden ,5.14,Philadelphia Eagles  ,5.22,Pat Freiermuth ,4.08,Austin Ekeler ,3.91,Braelon Allen ,4.31,Pat Freiermuth ,3.97
CeeDee Lamb ,1.87,Bucky Irving ,3.32,Lamar Jackson ,3.79,Davante Adams ,2.79,Tetairoa McMillan  ,3.76,Baker Mayfield ,3.77,Jalen McMillan ,3.91,Bo Nix ,4.13,Ricky Pearsall ,3.39,Darnell Mooney ,3.32,Kyle Pitts ,4.82,Kyle Pitts ,4.93,Houston Texans ,3.98,Kaleb Johnson ,3.34,Ka'imi Fairbairn ,4.15,Harrison Butker ,3.81
,,A.J. Brown ,2.89,Tee Higgins ,3.42,David Montgomery ,2.46,David Montgomery ,3.2,DeVonta Smith ,3.41,Baker Mayfield ,3.82,Tank Bigsby ,4.06,Cooper Kupp ,3.37,Jauan Jennings ,3.29,Ray Davis ,3.94,Javonte Williams ,3.64,Dylan Sampson ,3.82,Dallas Goedert ,3.25,Trey Benson ,3.38,Isaiah Bond ,3.55
,,Nico Collins ,2.88,Jayden Daniels ,3.24,Mike Evans ,1.87,Xavier Worthy ,2.31,Chris Godwin ,2.47,Deebo Samuel Sr. ,3.42,Omarion Hampton ,3.78,Khalil Shakir ,3.34,Quinshon Judkins ,3.21,Evan Engram ,3.38,Dallas Goedert ,3,Kaleb Johnson ,3.44,Buffalo Bills ,2.72,Devin Neal ,3.14,Marquise Brown ,3.46
,,Ashton Jeanty ,2.13,Joe Burrow ,3.15,Joe Mixon ,1.83,Omarion Hampton ,1.58,Chris Olave ,1.22,Jerry Jeudy ,3.34,Travis Etienne Jr. ,2.67,Dalton Kincaid ,3.09,Cooper Kupp ,2.89,Blake Corum ,3.16,Baltimore Ravens ,2.89,Travis Hunter ,3.21,Cameron Dicker ,2.64,Green Bay Packers ,3.1,Cole Kmet ,3.3
,,,,Davante Adams ,3.03,Christian McCaffrey ,1.4,,,,,Jared Goff ,3.13,Calvin Ridley ,2.59,Evan Engram ,3,Stefon Diggs ,2.87,Tyler Allgeier ,3.12,Jerome Ford ,2.44,Isaac Guerendo ,3.18,Los Angeles Chargers ,2.56,Chase McLaughlin ,2.86,Jaleel McLaughlin ,2.84
,,,,David Montgomery ,2.11,Joe Burrow ,1.35,,,,,Isiah Pacheco ,3.05,C.J. Stroud ,2.48,D'Andre Swift ,2.83,Jordan Love ,2.76,Rachaad White ,3.04,Pat Freiermuth ,1.98,Austin Ekeler ,3.01,Trey Benson ,1.92,Jake Ferguson ,2.7,Evan McPherson ,2.6
,,,,Ladd McConkey ,1.78,Jayden Daniels ,1.23,,,,,Calvin Ridley ,2.52,Rome Odunze ,2.23,Colston Loveland ,2.49,Zach Charbonnet ,2.41,Tyjae Spears  ,2.71,Hunter Henry ,1.96,Romeo Doubs ,2.3,Jerome Ford ,1.84,Cam Skattebo ,1.91,DeAndre Hopkins ,2.49
,,,,Joe Mixon ,1.41,,,,,,,Jayden Reed ,2.17,D'Andre Swift ,2.15,Tyjae Spears  ,2.32,Travis Etienne Jr. ,2.06,Kaleb Johnson ,2.39,Rachaad White ,1.87,Trey Benson ,2.21,Kyle Pitts ,1.81,Austin Ekeler ,1.89,Buffalo Bills ,2.45
,,,,Marvin Harrison Jr. ,1.39,,,,,,,Kyler Murray ,2.13,Deebo Samuel Sr. ,2.12,Quinshon Judkins ,2.15,Evan Engram ,2.02,Hunter Henry ,2.34,Kaleb Johnson ,1.31,Quentin Johnston ,2,Detroit Lions ,1.74,Zach Ertz  ,1.59,Green Bay Packers ,2.09
,,,,Breece Hall ,1.15,,,,,,,Jaylen Warren ,1.85,Caleb Williams ,2,Brock Purdy ,2.13,Luther Burden III ,1.73,Stefon Diggs ,1.9,Jordan Mason ,1.31,Tre Harris ,1.93,Tre Harris ,1.73,Jason Sanders ,1.42,Devin Neal ,2.06
,,,,Jalen Hurts ,1.07,,,,,,,Bo Nix ,1.83,Jalen McMillan ,1.55,Michael Pittman Jr. ,1.97,Travis Kelce ,1.61,Quentin Johnston ,1.89,Dalton Kincaid ,1.11,Javonte Williams ,1.9,Dylan Sampson ,1.55,Tre Harris ,1.16,Dylan Sampson ,2.06
,,,,,,,,,,,,Aaron Jones Sr. ,1.35,Brian Robinson Jr.  ,1.33,Tyler Allgeier ,1.94,Ricky Pearsall ,1.31,Darnell Mooney ,1.54,,,Keenan Allen ,1.82,Ray Davis ,1.29,,,Ka'imi Fairbairn ,1.91
,,,,,,,,,,,,Jaylen Waddle ,1.14,George Pickens ,1.18,Jordan Love ,1.91,Rachaad White ,1.17,Travis Hunter ,1.37,,,Ka'imi Fairbairn ,1.74,Ka'imi Fairbairn ,1.27,,,Alec Pierce ,1.66
,,,,,,,,,,,,Khalil Shakir ,1.05,Jared Goff ,1.1,Dallas Goedert ,1.76,Tyler Allgeier ,1.07,Rico Dowdle ,1.31,,,Hunter Henry ,1.48,New York Jets ,1.17,,,Braelon Allen ,1.55
,,,,,,,,,,,,Brandon Aiyuk ,1.02,Jerry Jeudy ,1.04,Rachaad White ,1.66,Keon Coleman ,1.04,Javonte Williams ,1.26,,,Wil Lutz ,1.37,Rashod Bateman ,1.08,,,Zach Ertz  ,1.37
,,,,,,,,,,,,,,,,C.J. Stroud ,1.58,,,,,,,Kyle Pitts ,1.33,Alec Pierce ,1.05,,,Xavier Legette ,1.28
,,,,,,,,,,,,,,,,Zach Charbonnet ,1.41,,,,,,,Cameron Dicker ,1.29,Minnesota Vikings ,1.04,,,Isaac Guerendo ,1.14
,,,,,,,,,,,,,,,,Travis Kelce ,1.23,,,,,,,Matthew Golden ,1.18,,,,,Wil Lutz ,1.01
,,,,,,,,,,,,,,,,Rico Dowdle ,1.04,,,,,,,Rashod Bateman ,1.07,,,,,,
