Round1,Odds1,Round2,Odds2,Round3,Odds3,Round4,Odds4,Round5,Odds5,Round6,Odds6,Round7,Odds7,Round8,Odds8,Round9,Odds9,Round10,Odds10,Round11,Odds11,Round12,Odds12,Round13,Odds13,Round14,Odds14,Round15,Odds15,Round16,Odds16
Saquon Barkley ,72.29,Drake London ,14.15,Christian McCaffrey ,13.77,Sam LaPorta ,9.21,Jameson Williams ,14.59,George Pickens ,8.01,Jaylen Waddle ,12.93,Brock Purdy ,11.39,Travis Etienne Jr. ,13.05,Jordan Mason ,14.38,Denver Broncos ,48.78,Ray Davis ,12.41,Quentin Johnston ,8.94,Ka'imi Fairbairn ,6.58,Isaac Guerendo ,11.83,Marquise Brown ,46.39
Ja'Marr Chase ,27.71,Christian McCaffrey ,9.55,Malik Nabers ,11.72,Garrett Wilson ,8.93,Marvin Harrison Jr. ,12.66,Bo Nix ,7.93,DK Metcalf ,10.69,Quinshon Judkins ,10.69,Zach Charbonnet ,12.32,J.K. Dobbins  ,12.72,Pittsburgh Steelers  ,13.52,Jaylen Wright ,10.75,Dallas Goedert ,8.84,Quentin Johnston ,4.9,J.J. McCarthy ,10.13,Tyler Bass ,6.32
,,A.J. Brown ,8.51,Kenneth Walker III ,9.78,Rashee Rice ,8.86,Jordan Addison ,12.18,Jaylen Waddle ,7.68,Calvin Ridley ,10.58,TreVeyon Henderson  ,9.95,Jared Goff ,11.84,Rico Dowdle ,11.43,Tyler Allgeier ,2.71,Blake Corum ,10.34,Kyle Pitts ,6.87,Dylan Sampson ,4.72,DeAndre Hopkins ,6.69,Geno Smith ,4.2
,,George Kittle ,8.08,Breece Hall ,9.48,Jalen Hurts ,8.46,Rashee Rice ,9.13,Tyrone Tracy Jr. ,6.82,Jayden Reed ,8.55,Khalil Shakir ,9.21,TreVeyon Henderson  ,10.26,C.J. Stroud ,8.77,Kyle Pitts ,2.5,Jordan Mason ,8.15,Zach Ertz  ,6.47,Kaleb Johnson ,4.37,Alec Pierce ,5.6,Seattle Seahawks ,3.41
,,Nico Collins ,7.14,David Montgomery ,8.9,Trey McBride ,7.26,David Montgomery ,8.02,Tony Pollard ,6.28,Kyler Murray ,8.1,D'Andre Swift ,6.27,Brock Purdy ,8.52,Darnell Mooney ,8.03,Dallas Goedert ,2.39,Kaleb Johnson ,7.95,Pat Freiermuth ,6.2,Amari Cooper  ,4.35,Jayden Higgins ,3.41,Zach Ertz  ,3.35
,,Brian Thomas Jr. ,6.61,Joe Mixon ,8.52,Marvin Harrison Jr. ,5.97,Garrett Wilson ,5.6,Isiah Pacheco ,6.2,Chris Olave ,4.93,Caleb Williams ,6.19,Kyler Murray ,5.87,Luther Burden III ,5.07,Pat Freiermuth ,2.01,Jerome Ford ,5.14,Hunter Henry ,5.91,Los Angeles Chargers ,4.28,Ka'imi Fairbairn ,3.34,Jack Bech ,2.8
,,Breece Hall ,6.49,Drake London ,7.04,Mark Andrews ,5.96,Courtland Sutton  ,4.75,Chris Godwin ,5.51,Isiah Pacheco ,4.36,Jerry Jeudy ,3.53,Justin Herbert ,5.19,Jerome Ford ,4.32,Michael Pittman Jr. ,2,Trey Benson ,4.5,Romeo Doubs ,5.75,Zach Ertz  ,4.05,Cedric Tillman ,3.33,Xavier Legette ,2.73
,,Amon-Ra St. Brown ,5.92,James Conner ,6.41,Tyrone Tracy Jr. ,5.4,DJ Moore ,4.72,Brian Robinson Jr.  ,5.41,Tetairoa McMillan  ,4.29,Jaylen Warren ,3.53,Jordan Love ,3.53,Rachaad White ,3.13,C.J. Stroud ,1.93,Javonte Williams ,2.53,Christian Kirk ,5.33,Marvin Mims Jr. ,4,Dylan Sampson ,2.99,Isaiah Bond ,2.58
,,Brock Bowers ,5.85,Brian Thomas Jr. ,5.29,Courtland Sutton  ,4.48,Josh Allen ,4.27,Chris Olave ,5.32,Aaron Jones Sr. ,4.14,Travis Etienne Jr. ,3.46,Jaylen Warren ,3.48,Tyler Allgeier ,2.93,Philadelphia Eagles  ,1.67,Baltimore Ravens ,2.35,Marvin Mims Jr. ,5.07,Hunter Henry ,3.92,Jason Sanders ,2.8,Green Bay Packers ,2.49
,,Chuba Hubbard ,5.32,Ladd McConkey ,4.18,Jameson Williams ,4.26,Jalen Hurts ,3.68,Omarion Hampton ,4.98,Bo Nix ,3.98,Rhamondre Stevenson ,3.29,Caleb Williams ,3.16,Caleb Williams ,2.65,Colston Loveland ,1.59,Minnesota Vikings ,2.3,Travis Hunter ,3.35,Isaiah Bond ,3.9,Wil Lutz ,2.54,Jalen Coker ,2.4
,,Joe Mixon ,4.29,Chase Brown ,3.75,Joe Burrow ,4.19,Lamar Jackson ,2.59,Jared Goff ,4.16,George Pickens ,2.98,Josh Downs ,3,Quinshon Judkins ,2.75,Blake Corum ,2.43,Drake Maye ,1.49,Austin Ekeler ,2.26,Javonte Williams ,3.32,Adam Thielen ,3.82,Trey Benson ,2.41,Cole Kmet ,2.36
,,Sam LaPorta ,3.36,A.J. Brown ,3.31,Zay Flowers ,3.78,Najee Harris ,2.41,Patrick Mahomes II ,4.13,Jared Goff ,2.8,Bo Nix ,2.99,D'Andre Swift ,2.3,Zach Charbonnet ,2.33,Jordan Love ,1.44,Pat Freiermuth ,2.25,Tre Harris ,2.82,Buffalo Bills ,3.25,Los Angeles Chargers ,2.35,Hunter Henry ,2.2
,,Kenneth Walker III ,3.22,Terry McLaurin ,2.01,DJ Moore ,3.36,Joe Burrow ,2.4,Justin Herbert ,3.79,Jordan Love ,2.72,Isiah Pacheco ,2.69,Tank Bigsby ,2.16,Keon Coleman ,2.31,Rico Dowdle ,1.41,J.K. Dobbins  ,2.21,Amari Cooper  ,2.65,Pat Freiermuth ,3.16,Amari Cooper  ,2.32,Isaac Guerendo ,1.96
,,Chase Brown ,2.92,Chuba Hubbard ,1.94,David Montgomery ,2.88,Zay Flowers ,1.89,Brock Purdy ,3.55,Chris Godwin ,2.57,Rashid Shaheed ,2.55,Khalil Shakir ,1.47,Josh Downs ,2.26,Christian Kirk ,1.32,Tyler Allgeier ,1.87,Colston Loveland ,2.49,Cam Skattebo ,2.84,Chris Boswell ,2.21,DeAndre Hopkins ,1.65
,,Tee Higgins ,2.07,Amon-Ra St. Brown ,1.18,Jayden Daniels ,2.22,Jared Goff ,1.8,Kyler Murray ,3.05,Brock Purdy ,2.1,Brandon Aiyuk ,2.18,Tyjae Spears  ,1.37,Tyjae Spears  ,2.18,Jordan Mason ,1.25,New York Jets ,1.71,Tua Tagovailoa ,2.29,Alec Pierce ,2.65,Cole Kmet ,2.18,Anthony Richardson ,1.55
,,Malik Nabers ,1.21,,,Baker Mayfield ,1.87,Kenneth Walker III ,1.58,Najee Harris ,2.55,Justin Herbert ,2.06,Jakobi Meyers ,2.11,Rhamondre Stevenson ,1.28,Rashid Shaheed ,1.99,Tyjae Spears  ,1.25,Dallas Goedert ,1.65,Rashod Bateman ,2.14,Cedric Tillman ,2.49,Geno Smith ,2.15,Alec Pierce ,1.52
,,Trey McBride ,1.18,,,T.J. Hockenson ,1.86,Baker Mayfield ,1.54,Aaron Jones Sr. ,2.25,Tony Pollard ,1.92,Jordan Love ,1.91,Deebo Samuel Sr. ,1.15,Matthew Stafford ,1.65,Blake Corum ,1.15,Hunter Henry ,1.41,Jake Ferguson ,2.14,Isaac Guerendo ,2.47,Anthony Richardson ,2.04,Cam Skattebo ,1.48
,,Alvin Kamara ,1.17,,,Patrick Mahomes II ,1.5,James Conner ,1.23,Jayden Reed ,2.18,Rome Odunze ,1.83,Jalen McMillan ,1.9,Jalen McMillan ,1.15,Dak Prescott ,1.62,Tua Tagovailoa ,1.11,Kyle Pitts ,1.31,Michael Pittman Jr. ,2.01,Evan McPherson ,2.31,Jake Ferguson ,1.98,Michael Penix Jr. ,1.24
,,Ladd McConkey ,1.06,,,Alvin Kamara ,1.28,Jayden Daniels ,1.01,DK Metcalf ,1.63,DeVonta Smith ,1.31,Ricky Pearsall ,1.86,Rico Dowdle ,1.14,Drake Maye ,1.53,Dak Prescott ,1.07,Trevor Lawrence ,1.3,Kaleb Johnson ,1.84,Jaylen Wright ,2.29,Evan McPherson ,1.93,Devin Neal ,1.2
,,,,,,Kenneth Walker III ,1.28,,,Caleb Williams ,1.61,Omarion Hampton ,1.31,Jauan Jennings ,1.39,Rashid Shaheed ,1.11,Michael Pittman Jr. ,1.34,,,Justin Fields ,1.28,Jerome Ford ,1.55,Javonte Williams ,2.19,Harrison Butker ,1.89,Trey Benson ,1.03
,,,,,,,,,,Tank Bigsby ,1.49,Brian Robinson Jr.  ,1.07,Emeka Egbuka ,1.33,,,Stefon Diggs ,1.23,,,Dylan Sampson ,1.23,Keenan Allen ,1.21,Wil Lutz ,2.09,Trevor Lawrence ,1.82,,
,,,,,,,,,,David Montgomery ,1.06,Tank Bigsby ,1.03,Tyjae Spears  ,1.27,,,Jordan Love ,1.02,,,Travis Hunter ,1.12,J.K. Dobbins  ,1.2,Jason Sanders ,1.97,Devin Neal ,1.77,,
,,,,,,,,,,Jordan Love ,1.02,,,Drake Maye ,1.1,,,,,,,Tre Harris ,1.1,Blake Corum ,1.16,Tre Harris ,1.79,Pat Freiermuth ,1.71,,
,,,,,,,,,,,,,,,,,,,,,,Marvin Mims Jr. ,1.09,Keon Coleman ,1.06,Austin Ekeler ,1.57,Zach Ertz  ,1.64,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Detroit Lions ,1.52,Hunter Henry ,1.42,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Braelon Allen ,1.4,New York Jets ,1.4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Romeo Doubs ,1.35,Tre Harris ,1.29,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Anthony Richardson ,1.31,Xavier Legette ,1.29,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Houston Texans ,1.19,Michael Penix Jr. ,1.24,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Kyle Pitts ,1.17,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Matthew Stafford ,1.13,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Jayden Higgins ,1.04,,,,
