Round1,Odds1,Round2,Odds2,Round3,Odds3,Round4,Odds4,Round5,Odds5,Round6,Odds6,Round7,Odds7,Round8,Odds8,Round9,Odds9,Round10,Odds10,Round11,Odds11,Round12,Odds12,Round13,Odds13,Round14,Odds14,Round15,Odds15,Round16,Odds16
Jahmyr Gibbs ,34.3,James Cook ,20.58,Tee Higgins ,15.42,Marvin Harrison Jr. ,19.05,Trey McBride ,13.79,Chris Godwin ,12.08,Isiah Pacheco ,18.8,Brandon Aiyuk ,13.45,Jordan Love ,9.56,C.J. Stroud ,12.39,Stefon Diggs ,9.95,Rashod Bateman ,9.52,Javonte Williams ,11.58,Trey Benson ,9.85,Evan McPherson ,14.95,Green Bay Packers ,20.97
CeeDee Lamb ,25.47,Breece Hall ,20.22,Ladd McConkey ,14.56,Tyreek Hill ,17.99,Courtland Sutton  ,12.2,Isiah Pacheco ,11.34,Jaylen Warren ,18.29,Calvin Ridley ,13.32,C.J. Stroud ,8.58,Jauan Jennings ,10.8,Luther Burden III ,8.52,Kaleb Johnson ,9.23,Kyle Pitts ,11.01,Jaylen Wright ,9.23,Wil Lutz ,14.75,Seattle Seahawks ,19.77
Derrick Henry ,11.76,Kyren Williams ,13.94,Terry McLaurin ,12.94,Zay Flowers ,15.75,Xavier Worthy ,11.73,Tony Pollard ,8.95,Brian Robinson Jr.  ,14.41,Rashid Shaheed ,11.81,Bo Nix ,7.02,Matthew Golden ,10.05,Marvin Mims Jr. ,8.52,J.K. Dobbins  ,7.71,Pat Freiermuth ,9.76,Ray Davis ,7.84,Buffalo Bills ,10.86,Chase McLaughlin ,17.96
Justin Jefferson ,11.64,Christian McCaffrey ,12.88,Brian Thomas Jr. ,9.01,Davante Adams ,12.53,T.J. Hockenson ,11.08,Jonnu Smith ,8.48,Omarion Hampton ,13.28,Jerry Jeudy ,10.81,Josh Downs ,6.28,Caleb Williams ,6.55,Zach Charbonnet ,8.32,Travis Hunter ,7.36,Matthew Stafford ,8.46,Michael Penix Jr. ,7.18,Los Angeles Chargers ,9.96,Harrison Butker ,16.16
Bijan Robinson ,8.57,Chuba Hubbard ,7.05,Jayden Daniels ,7.76,Jameson Williams ,10.5,Rashee Rice ,9.92,DK Metcalf ,7.86,George Pickens ,8.95,Jalen McMillan ,8.98,Drake Maye ,5.19,Jordan Mason ,5.39,Tyler Allgeier ,7.82,Quentin Johnston ,6.33,Zach Ertz  ,7.45,Austin Ekeler ,5.62,Chase McLaughlin ,9.61,Buffalo Bills ,7.1
Puka Nacua ,8.26,Chase Brown ,5.88,Drake London ,7.7,Garrett Wilson ,7.25,Mark Andrews ,8.4,Omarion Hampton ,7.16,Tank Bigsby ,6.47,Deebo Samuel Sr. ,7.63,Travis Etienne Jr. ,5.04,Drake Maye ,5.35,Michael Pittman Jr. ,7.26,Javonte Williams ,5.9,Kaleb Johnson ,5.4,Hunter Henry ,4.99,Green Bay Packers ,9.14,Jake Elliott ,4.87
,,Malik Nabers ,3.43,Chuba Hubbard ,5.17,Courtland Sutton  ,5.02,Zay Flowers ,7.31,Jayden Reed ,5.52,Rhamondre Stevenson ,3.84,Rome Odunze ,5.75,Rico Dowdle ,4.47,Keon Coleman ,5.32,Matthew Golden ,6.43,Blake Corum ,5.39,Isaac Guerendo ,4.21,Braelon Allen ,4.44,Ka'imi Fairbairn ,6.63,Cleveland Browns ,4.02
,,Joe Mixon ,3.19,Mike Evans ,4.45,James Conner ,2.78,Jonnu Smith ,6.05,Xavier Worthy ,5.26,Jaylen Waddle ,2.87,TreVeyon Henderson  ,4.72,Caleb Williams ,4.08,Brock Purdy ,5.05,Rachaad White ,6.09,Michael Pittman Jr. ,5.31,Anthony Richardson ,3.71,Trevor Lawrence ,4.3,Seattle Seahawks ,5.73,,
,,De'Von Achane ,2.64,Josh Allen ,3.71,Joe Mixon ,1.66,DJ Moore ,5.74,Tetairoa McMillan  ,4.85,Emeka Egbuka ,1.97,Tank Bigsby ,3.54,Quinshon Judkins ,4.04,Jordan Love ,4.31,Ray Davis ,5.7,Kyle Pitts ,4.92,Jaylen Wright ,3.57,Jayden Higgins ,4.07,Jason Sanders ,3.34,,
,,A.J. Brown ,2.44,Lamar Jackson ,3.5,DJ Moore ,1.12,Jordan Addison ,3.98,Aaron Jones Sr. ,4.8,Aaron Jones Sr. ,1.75,Rhamondre Stevenson ,2.44,Justin Herbert ,3.33,Luther Burden III ,3.47,Christian Kirk ,4.87,Matthew Golden ,4.84,Michael Penix Jr. ,2.6,Justin Fields ,3.81,Houston Texans ,2.62,,
,,Amon-Ra St. Brown ,2.05,Malik Nabers ,2.59,David Montgomery ,1.12,Jameson Williams ,2.7,Chris Olave ,2.67,TreVeyon Henderson  ,1.51,Khalil Shakir ,2.34,Cooper Kupp ,3.16,Rico Dowdle ,2.98,Jordan Mason ,4.15,Ray Davis ,4.32,Tua Tagovailoa ,2.6,Matthew Stafford ,3.6,New York Jets ,2.01,,
,,Tee Higgins ,1.51,A.J. Brown ,2.59,Chuba Hubbard ,1.06,Marvin Harrison Jr. ,2.2,Tyler Warren ,2.55,Calvin Ridley ,1.33,Ricky Pearsall ,2.15,Jakobi Meyers ,2.89,Cooper Kupp ,2.75,J.K. Dobbins  ,3.69,Marvin Mims Jr. ,3.63,Dylan Sampson ,2.58,Kyle Pitts ,3.17,Zach Ertz  ,1.95,,
,,Drake London ,1.36,Chase Brown ,2.08,,,Tyler Warren ,1.68,Tyrone Tracy Jr. ,2.52,Chris Godwin ,1.33,Jauan Jennings ,2.05,Tucker Kraft ,2.81,Justin Herbert ,2.18,Keenan Allen ,3.28,Jaylen Wright ,3.09,Trey Benson ,2.4,Kaleb Johnson ,2.79,,,,
,,Ladd McConkey ,1.1,Christian McCaffrey ,1.55,,,DeVonta Smith ,1.4,David Njoku ,2.4,Tony Pollard ,1.08,Emeka Egbuka ,1.69,Ricky Pearsall ,2.76,Tyler Allgeier ,2.01,Blake Corum ,3.19,Jerome Ford ,2.62,Ray Davis ,2.31,Detroit Lions ,2.46,,,,
,,,,Davante Adams ,1.52,,,,,DeVonta Smith ,2.24,Tyrone Tracy Jr. ,1.06,Jakobi Meyers ,1.53,Dalton Kincaid ,2.52,Rashid Shaheed ,1.94,Jerome Ford ,2.84,Tyler Allgeier ,2.6,Justin Fields ,2.28,Buffalo Bills ,2.23,,,,
,,,,Jaxon Smith-Njigba ,1.39,,,,,Brian Robinson Jr.  ,2.07,,,Travis Etienne Jr. ,1.5,Keon Coleman ,2.22,Zach Charbonnet ,1.77,Tre Harris ,1.87,Jordan Mason ,2.09,Hunter Henry ,1.94,Houston Texans ,2.16,,,,
,,,,Breece Hall ,1.35,,,,,David Montgomery ,2.06,,,Jaylen Waddle ,1.26,Jauan Jennings ,2.06,Darnell Mooney ,1.65,Javonte Williams ,1.49,Christian Kirk ,1.66,Cole Kmet ,1.87,Pat Freiermuth ,1.99,,,,
,,,,,,,,,,George Pickens ,1.25,,,Josh Downs ,1.13,Tyjae Spears  ,1.95,Dallas Goedert ,1.51,Rico Dowdle ,1.35,Pat Freiermuth ,1.53,Jerome Ford ,1.45,Jerome Ford ,1.94,,,,
,,,,,,,,,,T.J. Hockenson ,1.24,,,,,Brock Purdy ,1.82,Trevor Lawrence ,1.36,Darnell Mooney ,1.31,Austin Ekeler ,1.43,Dallas Goedert ,1.33,Tua Tagovailoa ,1.92,,,,
,,,,,,,,,,Najee Harris ,1.11,,,,,Jalen McMillan ,1.77,Dak Prescott ,1.35,,,Adam Thielen ,1.34,Marvin Mims Jr. ,1.2,Cam Skattebo ,1.38,,,,
,,,,,,,,,,,,,,,,Rhamondre Stevenson ,1.75,Tua Tagovailoa ,1.08,,,Romeo Doubs ,1.29,Blake Corum ,1.19,Isaac Guerendo ,1.22,,,,
,,,,,,,,,,,,,,,,Jaylen Warren ,1.74,Kyle Pitts ,1.06,,,Keenan Allen ,1.24,Austin Ekeler ,1.17,Dylan Sampson ,1.1,,,,
,,,,,,,,,,,,,,,,Rashid Shaheed ,1.7,,,,,Dallas Goedert ,1.01,,,Cedric Tillman ,1.06,,,,
,,,,,,,,,,,,,,,,Dak Prescott ,1.46,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Khalil Shakir ,1.34,,,,,,,,,,,,,,
