Round1,Odds1,Round2,Odds2,Round3,Odds3,Round4,Odds4,Round5,Odds5,Round6,Odds6,Round7,Odds7,Round8,Odds8,Round9,Odds9,Round10,Odds10,Round11,Odds11,Round12,Odds12,Round13,Odds13,Round14,Odds14,Round15,Odds15,Round16,Odds16
Ashton Jeanty ,30.66,Amon-Ra St. Brown ,30.91,James Conner ,11.02,Jaxon Smith-Njigba ,15.04,Mark Andrews ,22.15,Patrick Mahomes II ,27.54,Jerry Jeudy ,9.87,David Njoku ,14.75,Josh Downs ,10.56,Zach Charbonnet ,9.67,Matthew Golden ,10.84,Keenan Allen ,18.76,Cameron Dicker ,11.07,Anthony Richardson ,12.02,Seattle Seahawks ,8.96,Braelon Allen ,14.33
Bucky Irving ,26.85,Puka Nacua ,24.75,Tyreek Hill ,10.1,Mike Evans ,13.69,T.J. Hockenson ,20.09,Jared Goff ,24.31,George Pickens ,9.44,Travis Etienne Jr. ,14.04,Colston Loveland ,9.18,Jalen McMillan ,9.22,Matthew Stafford ,9.89,Kansas City Chiefs ,17.55,Christian Kirk ,10.81,Matthew Golden ,11.97,Jason Sanders ,8.9,Cam Skattebo ,12.54
Jonathan Taylor ,19.23,Nico Collins ,21.39,Davante Adams ,9.66,Davante Adams ,12.93,Tyler Warren ,14.28,Jayden Daniels ,18.98,Isiah Pacheco ,8.06,Travis Kelce ,11.3,Keon Coleman ,8.68,Stefon Diggs ,8.59,Caleb Williams ,9.46,Philadelphia Eagles  ,10.42,Isaiah Bond ,6.04,Cameron Dicker ,5.94,Cam Skattebo ,7.92,Trey Benson ,12.49
Kyren Williams ,12.81,Brian Thomas Jr. ,9.56,Aaron Jones Sr. ,9.43,Garrett Wilson ,10.56,Jonnu Smith ,10.7,Baker Mayfield ,13.92,Calvin Ridley ,7.9,Tucker Kraft ,9.83,Darnell Mooney ,8.58,Keon Coleman ,7.49,Tua Tagovailoa ,7.77,Baltimore Ravens ,8.14,Cedric Tillman ,5.76,Chris Boswell ,5.49,Austin Ekeler ,7.36,Isaac Guerendo ,8.37
De'Von Achane ,5.66,CeeDee Lamb ,9.03,Ladd McConkey ,8.78,Ladd McConkey ,8.21,DeVonta Smith ,6.03,Joe Burrow ,7.85,Rhamondre Stevenson ,7.53,Jaylen Warren ,6.59,Ricky Pearsall ,8.53,Tyjae Spears  ,6.85,Rashod Bateman ,7.12,Pittsburgh Steelers  ,3.89,Anthony Richardson ,5.08,Romeo Doubs ,5.36,Dylan Sampson ,6.99,Jason Sanders ,8.3
James Cook ,3.55,Justin Jefferson ,2.27,Mike Evans ,8.34,Tee Higgins ,6.36,Tetairoa McMillan  ,5.99,Jalen Hurts ,4.62,TreVeyon Henderson  ,7.45,Tyler Warren ,6.05,Dalton Kincaid ,8.09,Josh Downs ,6.78,Darnell Mooney ,6.62,C.J. Stroud ,3.69,New York Jets ,5.07,Michael Penix Jr. ,4.87,Isaac Guerendo ,6.42,Cole Kmet ,4.88
,,A.J. Brown ,1.91,Jaxon Smith-Njigba ,7.36,Alvin Kamara ,4.95,Chris Godwin ,4.82,Justin Herbert ,1.75,Travis Etienne Jr. ,7.38,Rhamondre Stevenson ,5.85,Rashid Shaheed ,7.51,Cooper Kupp ,5.82,Quentin Johnston ,6.49,Detroit Lions ,3.68,Wil Lutz ,5.05,Trevor Lawrence ,4.36,Amari Cooper  ,5.43,Nick Chubb ,4.39
,,,,Alvin Kamara ,6.07,James Conner ,4.51,George Kittle ,4.57,,,Emeka Egbuka ,6.44,Dalton Kincaid ,5.8,Khalil Shakir ,6.01,Jauan Jennings ,5.45,Trevor Lawrence ,6.14,Travis Hunter ,3.41,Detroit Lions ,4.91,Tua Tagovailoa ,4.11,Alec Pierce ,4.19,Audric Estime ,4.22
,,,,Terry McLaurin ,5.99,Kenneth Walker III ,4.33,DJ Moore ,2.64,,,Jakobi Meyers ,5.76,Jonnu Smith ,4.9,Luther Burden III ,5.56,Ricky Pearsall ,5.26,C.J. Stroud ,5.94,Rashod Bateman ,3.15,Chris Boswell ,4.7,Justin Fields ,3.66,Evan McPherson ,3.89,Hunter Henry ,4.21
,,,,Chuba Hubbard ,5.35,Tyreek Hill ,3.88,Trey McBride ,2.57,,,Deebo Samuel Sr. ,4.47,Tank Bigsby ,4.41,Jauan Jennings ,4.63,Rachaad White ,5.18,Drake Maye ,5.01,Tua Tagovailoa ,3.12,Jake Bates ,4.01,Cedric Tillman ,3.57,Nick Chubb ,3.8,Pat Freiermuth ,3.52
