Round1,Odds1,Round2,Odds2,Round3,Odds3,Round4,Odds4,Round5,Odds5,Round6,Odds6,Round7,Odds7,Round8,Odds8,Round9,Odds9,Round10,Odds10,Round11,Odds11,Round12,Odds12,Round13,Odds13,Round14,Odds14,Round15,Odds15,Round16,Odds16
Bijan Robinson ,72.29,Breece Hall ,22.77,Ladd McConkey ,23.21,Courtland Sutton  ,20.45,Joe Burrow ,26.27,Jayden Reed ,20.02,Omarion Hampton ,21.02,Travis Kelce ,21.8,Jakobi Meyers ,15.77,Tua Tagovailoa ,23.37,Darnell Mooney ,16.59,Minnesota Vikings ,26.9,Justin Fields ,20.35,Dylan Sampson ,18.06,Cedric Tillman ,15.56,Tyler Bass ,53.61
Saquon Barkley ,27.71,Chuba Hubbard ,22.04,Drake London ,18.87,Davante Adams ,18.65,Baker Mayfield ,25.48,DeVonta Smith ,18.1,TreVeyon Henderson  ,18.59,Evan Engram ,21.72,Emeka Egbuka ,14.9,Justin Herbert ,20.73,Rashid Shaheed ,16.46,Detroit Lions ,26,Geno Smith ,19.85,Trey Benson ,17.36,Travis Hunter ,15.27,Jake Elliott ,46.39
,,Chase Brown ,16.53,Malik Nabers ,18.18,DJ Moore ,17.14,Lamar Jackson ,17.93,George Pickens ,16.06,Aaron Jones Sr. ,18.15,Dalton Kincaid ,16.77,Luther Burden III ,13.97,Drake Maye ,18.67,Rashod Bateman ,13.92,Kansas City Chiefs ,16.62,Dak Prescott ,16.69,Javonte Williams ,14.54,Xavier Legette ,14.56,,
,,Alvin Kamara ,14.93,Amon-Ra St. Brown ,12.96,Garrett Wilson ,12.68,Jalen Hurts ,14.55,Chris Olave ,13.6,Tank Bigsby ,13.21,David Njoku ,16.45,Jauan Jennings ,12.6,C.J. Stroud ,13.64,Matthew Golden ,13,Philadelphia Eagles  ,15.67,Trevor Lawrence ,14.15,Austin Ekeler ,14.32,Isaiah Bond ,11.73,,
,,Christian McCaffrey ,8.17,A.J. Brown ,11.2,Zay Flowers ,11.61,Patrick Mahomes II ,8.03,Chris Godwin ,11.34,Brian Robinson Jr.  ,11.02,Tucker Kraft ,8.15,Brandon Aiyuk ,10.07,Caleb Williams ,9.9,Keon Coleman ,9.77,Baltimore Ravens ,6.35,Tua Tagovailoa ,10.69,Audric Estime ,9.76,Alec Pierce ,11.09,,
,,Joe Mixon ,8.17,Brian Thomas Jr. ,5.98,Marvin Harrison Jr. ,7.1,Jayden Daniels ,4.9,Tetairoa McMillan  ,7.61,Isiah Pacheco ,7.19,Dallas Goedert ,7.98,Khalil Shakir ,8.63,Jordan Love ,6.32,Michael Pittman Jr. ,9.01,Los Angeles Chargers ,5.85,C.J. Stroud ,6.72,Isaac Guerendo ,9.18,Jayden Higgins ,8.49,,
,,Kenneth Walker III ,3.11,Tee Higgins ,4.78,Jameson Williams ,5.85,Kyler Murray ,1.93,Jaylen Waddle ,5.36,Tyrone Tracy Jr. ,4.96,Colston Loveland ,2.84,Deebo Samuel Sr. ,6.45,Brock Purdy ,3.8,Stefon Diggs ,6.33,New York Jets ,1.29,Anthony Richardson ,5.38,Braelon Allen ,5.04,Amari Cooper  ,7.52,,
,,James Cook ,2.67,Mike Evans ,2.48,Rashee Rice ,2.71,,,DK Metcalf ,3.5,Tony Pollard ,2.51,Tyler Warren ,2.61,Rashid Shaheed ,5.28,Dak Prescott ,1.96,Christian Kirk ,5.8,Pittsburgh Steelers  ,1.12,Matthew Stafford ,2.47,Cam Skattebo ,4.95,Tre Harris ,5.13,,
,,,,Nico Collins ,1.34,Tyreek Hill ,1.91,,,Calvin Ridley ,2.06,Najee Harris ,1.96,,,Ricky Pearsall ,3.95,,,Keenan Allen ,2.97,,,Bryce Young ,2.01,Jaylen Wright ,2.45,DeAndre Hopkins ,3.87,,
,,,,,,,,,,Xavier Worthy ,1.18,,,,,Josh Downs ,3.24,,,Travis Hunter ,2.59,,,,,Kaleb Johnson ,2.1,Adam Thielen ,2.4,,
,,,,,,,,,,,,,,,,Cooper Kupp ,1.95,,,Luther Burden III ,1.32,,,,,,,Romeo Doubs ,1.97,,
,,,,,,,,,,,,,,,,Jalen McMillan ,1.32,,,Cooper Kupp ,1.12,,,,,,,,,,
