Age,Previous Rank,FantPos,Games Played,Games Started,Cmp,Att,Yds,TD,Int,Rush Att,Rush Yds,Rush TD,Tgt,Rec,Rec Yds,Rec TD,Total TD,PPR
27,43,0,16,16,0,0,0,0,0,345,2005,13,43,33,278,2,15,355.3
30,16,0,17,17,0,0,0,0,0,325,1921,16,22,19,193,2,18,336.4
22,35,0,17,4,0,0,0,0,0,250,1412,16,63,52,517,4,20,362.9
27,10,2,17,17,316,474,4172,41,4,139,915,4,0,0,0,0,4,430.4
24,33,1,17,16,0,0,0,0,0,3,32,0,175,127,1708,17,17,403
22,38,0,17,17,0,0,0,0,0,304,1456,14,72,61,431,1,15,341.7
26,93,0,17,17,0,0,0,0,0,301,1329,15,43,36,342,1,16,293.1
28,3,2,17,17,307,483,3731,28,6,102,531,12,0,0,7,1,13,379
28,90,2,17,17,460,652,4918,43,9,42,201,2,0,0,0,0,2,372.8
24,13,0,16,16,0,0,0,0,0,316,1299,14,40,34,182,2,16,272.1
