Rk,Previous Rank,Age,FantPos,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,PPR,PosRank
1,43,27,0,16,16,0,0,0,0,0,345,2005,5.81,13,43,33,278,8.42,2,2,1,15,355.3,1
2,16,30,0,17,17,0,0,0,0,0,325,1921,5.91,16,22,19,193,10.16,2,3,1,18,336.4,2
3,35,22,0,17,4,0,0,0,0,0,250,1412,5.65,16,63,52,517,9.94,4,1,1,20,362.9,3
4,10,27,1,17,17,316,474,4172,41,4,139,915,6.58,4,0,0,0,,0,10,5,4,430.4,1
5,33,24,1,17,16,0,0,0,0,0,3,32,10.67,0,175,127,1708,13.45,17,0,0,17,403,1
6,38,22,0,17,17,0,0,0,0,0,304,1456,4.79,14,72,61,431,7.07,1,1,0,15,341.7,4
7,93,26,0,17,17,0,0,0,0,0,301,1329,4.42,15,43,36,342,9.5,1,4,3,16,293.1,5
8,3,28,1,17,17,307,483,3731,28,6,102,531,5.21,12,0,0,7,,1,5,2,13,379,2
9,90,28,1,17,17,460,652,4918,43,9,42,201,4.79,2,0,0,0,,0,11,5,2,372.8,3
10,13,24,0,16,16,0,0,0,0,0,316,1299,4.11,14,40,34,182,5.35,2,5,3,16,272.1,6
11,37,25,0,16,16,0,0,0,0,0,207,1009,4.87,16,38,32,258,8.06,2,1,0,18,266.7,7
12,70,25,1,17,17,1,1,22,0,0,1,3,3,0,154,103,1533,14.88,10,1,0,10,317.5,2
13,60,29,1,17,17,407,570,4500,41,16,60,378,6.3,3,0,0,0,,0,13,2,3,365.8,4
14,97,25,0,14,13,0,0,0,0,0,303,1431,4.72,11,31,18,136,7.56,1,4,1,12,244.7,8
15,22,31,1,15,15,0,0,0,0,0,0,0,,0,94,78,1106,14.18,8,0,0,8,236.6,1
16,0,24,1,17,17,331,480,3568,25,9,148,891,6.02,6,0,0,0,,0,5,0,6,355.8,5
17,69,23,0,17,16,0,0,0,0,0,203,907,4.47,6,87,78,592,7.59,6,1,0,12,299.9,9
18,7,25,1,17,17,1,1,7,1,0,2,6,3,0,141,115,1263,10.98,12,1,1,12,316.2,3
19,0,22,1,17,16,0,0,0,0,0,6,48,8,0,133,87,1282,14.74,10,0,0,10,284,4
