Rk,Player,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
,,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Column1,Column2,,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33
4,Lamar Jackson,10,BAL,QB,27,17,17,316,474,4172,41,4,139,915,6.58,4,0,0,0,,0,10,5,4,1,,430,430.4,445.4,434.4,140,1,4
5,Ja'Marr Chase,33,CIN,WR,24,17,16,0,0,0,0,0,3,32,10.67,0,175,127,1708,13.45,17,0,0,17,,,276,403,406,339.5,138,1,5
8,Josh Allen,3,BUF,QB,28,17,17,307,483,3731,28,6,102,531,5.21,12,0,0,7,,1,5,2,13,,1,379,379,393,385,91,2,8
9,Joe Burrow,90,CIN,QB,28,17,17,460,652,4918,43,9,42,201,4.79,2,0,0,0,,0,11,5,2,,,373,372.8,392.8,381.8,85,3,9
13,Baker Mayfield,60,TAM,QB,29,17,17,407,570,4500,41,16,60,378,6.3,3,0,0,0,,0,13,2,3,,1,366,365.8,389.8,381.8,79,4,13
3,Jahmyr Gibbs,35,DET,RB,22,17,4,0,0,0,0,0,250,1412,5.65,16,63,52,517,9.94,4,1,1,20,,,311,362.9,369.9,336.9,153,3,3
16,Jayden Daniels,0,WAS,QB,24,17,17,331,480,3568,25,9,148,891,6.02,6,0,0,0,,0,5,0,6,1,2,356,355.8,370.8,364.8,69,5,16
1,Saquon Barkley,43,PHI,RB,27,16,16,0,0,0,0,0,345,2005,5.81,13,43,33,278,8.42,2,2,1,15,3,,322,355.3,362.3,338.8,163,1,1
6,Bijan Robinson,38,ATL,RB,22,17,17,0,0,0,0,0,304,1456,4.79,14,72,61,431,7.07,1,1,0,15,1,,281,341.7,347.7,311.2,124,4,6
2,Derrick Henry,16,BAL,RB,30,17,17,0,0,0,0,0,325,1921,5.91,16,22,19,193,10.16,2,3,1,18,,,317,336.4,343.4,326.9,159,2,2
33,Jared Goff,40,DET,QB,30,17,17,390,539,4629,37,12,35,56,1.6,0,1,1,7,7,1,6,0,1,,1,323,324.5,339.5,336,39,6,33
12,Justin Jefferson,70,MIN,WR,25,17,17,1,1,22,0,0,1,3,3,0,154,103,1533,14.88,10,1,0,10,,,214,317.5,320.5,266,80,2,12
38,Bo Nix,0,DEN,QB,24,17,17,376,567,3775,29,12,92,430,4.67,4,1,1,2,2,1,3,0,5,,,316,317.2,335.2,328.7,32,7,38
18,Amon-Ra St. Brown,7,DET,WR,25,17,17,1,1,7,1,0,2,6,3,0,141,115,1263,10.98,12,1,1,12,,,201,316.2,320.2,258.7,67,3,18
39,Jalen Hurts,5,PHI,QB,26,15,15,248,361,2903,18,5,150,630,4.2,14,0,0,0,,0,9,5,14,,,315,315.1,331.1,320.1,31,8,39
47,Sam Darnold,318,MIN,QB,27,17,17,361,545,4319,35,12,67,212,3.16,1,0,0,0,,0,8,4,1,,,308,308,330,320,24,9,47
17,De'Von Achane,69,MIA,RB,23,17,16,0,0,0,0,0,203,907,4.47,6,87,78,592,7.59,6,1,0,12,,,222,299.9,305.9,260.9,69,9,17
58,Kyler Murray,91,ARI,QB,27,17,17,372,541,3851,21,11,78,572,7.33,5,0,0,0,,0,8,4,5,1,,297,297.2,318.2,308.2,14,10,58
7,Josh Jacobs,93,GNB,RB,26,17,17,0,0,0,0,0,301,1329,4.42,15,43,36,342,9.5,1,4,3,16,,,257,293.1,302.1,275.1,102,5,7
71,Justin Herbert,81,LAC,QB,26,17,17,332,504,3870,23,3,69,306,4.43,2,0,0,0,,0,6,2,2,,3,285,285.4,296.4,288.4,3,11,71
19,Brian Thomas,0,JAX,WR,22,17,16,0,0,0,0,0,6,48,8,0,133,87,1282,14.74,10,0,0,10,2,,197,284,287,240.5,63,4,19
74,Patrick Mahomes,50,KAN,QB,29,16,16,392,581,3928,26,11,58,307,5.29,2,1,1,2,2,0,2,0,2,,,282,283,300,293.5,,12,74
26,Drake London,121,ATL,WR,23,17,17,0,0,0,0,0,1,-3,-3,0,158,100,1271,12.71,9,0,0,9,,,181,280.8,283.8,230.8,48,6,26
37,Malik Nabers,0,NYG,WR,21,15,13,0,1,0,0,0,5,2,0.4,0,170,109,1204,11.05,7,1,0,7,1,,165,273.6,276.6,219.1,33,8,37
10,Kyren Williams,13,LAR,RB,24,16,16,0,0,0,0,0,316,1299,4.11,14,40,34,182,5.35,2,5,3,16,,,238,272.1,281.1,255.1,84,6,10
23,Terry McLaurin,75,WAS,WR,29,17,17,0,0,0,0,0,2,2,1,0,117,82,1096,13.37,13,1,1,13,,,186,267.8,271.8,226.8,53,5,23
75,Brock Purdy,31,SFO,QB,25,15,15,300,455,3864,20,12,66,323,4.89,5,0,0,0,,0,7,3,5,,,267,266.9,287.9,278.9,,13,75
11,James Cook,37,BUF,RB,25,16,16,0,0,0,0,0,207,1009,4.87,16,38,32,258,8.06,2,1,0,18,,,235,266.7,272.7,250.7,81,7,11
76,Geno Smith,83,SEA,QB,34,17,17,407,578,4320,21,15,53,272,5.13,2,0,0,0,,0,9,0,2,,,266,266,287,281,,14,76
31,Alvin Kamara,87,NOR,RB,29,14,14,0,0,0,0,0,228,950,4.17,6,89,68,543,7.99,2,1,0,8,,,197,265.3,271.3,231.3,46,15,31
40,CeeDee Lamb,2,DAL,WR,25,15,15,0,0,0,0,0,14,70,5,0,152,101,1194,11.82,6,1,1,6,1,,162,263.4,267.4,212.9,31,9,40
20,Brock Bowers,0,LVR,TE,22,17,16,0,0,0,0,0,5,13,2.6,0,153,112,1194,10.66,5,0,0,5,,,151,262.7,265.7,206.7,63,2,20
77,Aaron Rodgers,601,NYJ,QB,41,17,17,368,584,3897,28,11,22,107,4.86,0,0,0,0,,0,5,2,0,,2,257,256.6,275.6,267.6,,15,77
25,Chase Brown,239,CIN,RB,24,16,10,0,0,0,0,0,229,990,4.32,7,65,54,360,6.67,4,2,1,11,1,,201,255,262,228,49,12,25
78,Caleb Williams,0,CHI,QB,23,17,17,351,562,3541,20,6,81,489,6.04,0,0,0,0,,0,10,5,0,,3,255,254.5,271.5,260.5,,16,78
21,James Conner,52,ARI,RB,29,16,16,0,0,0,0,0,236,1094,4.64,8,55,47,414,8.81,1,4,1,9,2,,207,253.8,260.8,230.3,55,10,21
50,Jaxon Smith-Njigba,138,SEA,WR,22,17,16,1,1,35,0,0,5,26,5.2,0,137,100,1130,11.3,6,1,0,6,,,153,253,256,203,22,14,50
52,Garrett Wilson,112,NYJ,WR,24,17,17,0,0,0,0,0,2,5,2.5,0,154,101,1104,10.93,7,2,2,7,1,,151,251.9,256.9,201.4,20,16,52
24,Trey McBride,56,ARI,TE,25,16,16,0,0,0,0,0,1,2,2,1,147,111,1146,10.32,2,0,0,4,,,139,249.8,252.8,194.3,51,3,24
14,Jonathan Taylor,97,IND,RB,25,14,13,0,0,0,0,0,303,1431,4.72,11,31,18,136,7.56,1,4,1,12,,,227,244.7,251.7,235.7,74,8,14
30,Bucky Irving,0,TAM,RB,22,17,3,0,0,0,0,0,207,1122,5.42,8,52,47,392,8.34,0,2,1,8,,,197,244.4,251.4,220.9,46,14,30
27,Chuba Hubbard,92,CAR,RB,25,15,15,0,0,0,0,0,250,1195,4.78,10,54,43,171,3.98,1,4,3,11,1,,199,241.6,250.6,220.1,47,13,27
32,Aaron Jones,119,MIN,RB,30,17,17,0,0,0,0,0,255,1138,4.46,5,62,51,408,8,2,5,3,7,,,191,241.6,250.6,216.1,40,16,32
46,Davante Adams,34,2TM,WR,32,14,14,0,0,0,0,0,0,0,,0,141,85,1063,12.51,8,0,0,8,1,,156,241.3,244.3,198.8,25,12,46
36,Breece Hall,19,NYJ,RB,23,16,16,0,0,0,0,0,209,876,4.19,5,76,57,483,8.47,3,6,2,8,2,,184,240.9,248.9,212.4,33,18,36
43,Ladd McConkey,0,LAC,WR,23,16,14,0,0,0,0,0,0,0,,0,112,82,1149,14.01,7,2,0,7,1,,159,240.9,243.9,199.9,28,11,43
51,Jerry Jeudy,137,CLE,WR,25,17,16,0,0,0,0,0,0,0,,0,145,90,1229,13.66,4,0,0,4,2,,151,240.9,243.9,195.9,20,15,51
22,Joe Mixon,17,HOU,RB,28,14,14,0,1,0,0,0,245,1016,4.15,11,52,36,309,8.58,1,0,0,12,,,205,240.5,246.5,222.5,53,11,22
35,Mike Evans,9,TAM,WR,31,14,14,0,0,0,0,0,0,0,,0,110,74,1004,13.57,11,0,0,11,,,166,240.4,243.4,203.4,35,7,35
42,Courtland Sutton,74,DEN,WR,29,17,13,2,2,30,1,0,0,0,,0,135,81,1081,13.35,8,1,1,8,,,159,240.3,244.3,199.8,28,10,42
65,D.J. Moore,15,CHI,WR,27,17,17,0,1,0,0,0,14,75,5.36,0,140,98,966,9.86,6,1,1,6,1,,140,238.1,242.1,189.1,10,22,65
15,George Kittle,22,SFO,TE,31,15,15,0,0,0,0,0,0,0,,0,94,78,1106,14.18,8,0,0,8,,,159,236.6,239.6,197.6,70,1,15
79,Jordan Love,18,GNB,QB,26,15,15,268,425,3389,25,11,25,83,3.32,1,0,0,0,,0,4,0,1,,3,234,233.9,247.9,244.9,,17,
28,Jonnu Smith,159,MIA,TE,29,17,6,0,0,0,0,0,2,-1,-0.5,0,111,88,884,10.05,8,2,1,8,,,134,222.3,226.3,178.3,47,4,28
56,Tee Higgins,130,CIN,WR,25,12,9,0,0,0,0,0,0,0,,0,109,73,911,12.48,10,1,1,10,,,149,222.1,226.1,185.6,18,19,56
34,David Montgomery,32,DET,RB,27,14,14,1,1,3,1,0,185,775,4.19,12,38,36,341,9.47,0,2,1,12,,,186,221.7,228.7,203.7,35,17,34
80,C.J. Stroud,58,HOU,QB,23,17,17,336,532,3727,20,12,52,233,4.48,0,1,0,0,,0,6,4,0,,,220,220.4,242.4,232.4,,18,
66,Tyreek Hill,4,MIA,WR,30,17,17,0,0,0,0,0,8,53,6.63,0,123,81,959,11.84,6,0,0,6,,,137,218.2,221.2,177.7,7,23,66
73,Jakobi Meyers,51,LVR,WR,28,15,15,0,0,0,0,0,2,23,11.5,0,129,87,1027,11.8,4,0,0,4,1,,131,218,221,174.5,1,29,73
