Age,Previous Rank,FantPos,Games Played,Games Started,Cmp,Att,Yds,TD,Int,Rush Att,Rush Yds,Rush TD,Tgt,Rec,Rec Yds,Rec TD,Total TD,PPR
27,43,0,16,16,0,0,0,0,0,345,2005,13,43,33,278,2,15,355.3
30,16,0,17,17,0,0,0,0,0,325,1921,16,22,19,193,2,18,336.4
22,35,0,17,4,0,0,0,0,0,250,1412,16,63,52,517,4,20,362.9
27,10,2,17,17,316,474,4172,41,4,139,915,4,0,0,0,0,4,430.4
24,33,1,17,16,0,0,0,0,0,3,32,0,175,127,1708,17,17,403
22,38,0,17,17,0,0,0,0,0,304,1456,14,72,61,431,1,15,341.7
26,93,0,17,17,0,0,0,0,0,301,1329,15,43,36,342,1,16,293.1
28,3,2,17,17,307,483,3731,28,6,102,531,12,0,0,7,1,13,379
28,90,2,17,17,460,652,4918,43,9,42,201,2,0,0,0,0,2,372.8
24,13,0,16,16,0,0,0,0,0,316,1299,14,40,34,182,2,16,272.1
25,37,0,16,16,0,0,0,0,0,207,1009,16,38,32,258,2,18,266.7
25,70,1,17,17,1,1,22,0,0,1,3,0,154,103,1533,10,10,317.5
29,60,2,17,17,407,570,4500,41,16,60,378,3,0,0,0,0,3,365.8
25,97,0,14,13,0,0,0,0,0,303,1431,11,31,18,136,1,12,244.7
31,22,3,15,15,0,0,0,0,0,0,0,0,94,78,1106,8,8,236.6
24,0,2,17,17,331,480,3568,25,9,148,891,6,0,0,0,0,6,355.8
23,69,0,17,16,0,0,0,0,0,203,907,6,87,78,592,6,12,299.9
25,7,1,17,17,1,1,7,1,0,2,6,0,141,115,1263,12,12,316.2
22,0,1,17,16,0,0,0,0,0,6,48,0,133,87,1282,10,10,284
22,0,3,17,16,0,0,0,0,0,5,13,0,153,112,1194,5,5,262.7
29,52,0,16,16,0,0,0,0,0,236,1094,8,55,47,414,1,9,253.8
28,17,0,14,14,0,1,0,0,0,245,1016,11,52,36,309,1,12,240.5
29,75,1,17,17,0,0,0,0,0,2,2,0,117,82,1096,13,13,267.8
25,56,3,16,16,0,0,0,0,0,1,2,1,147,111,1146,2,4,249.8
24,239,0,16,10,0,0,0,0,0,229,990,7,65,54,360,4,11,255
23,121,1,17,17,0,0,0,0,0,1,-3,0,158,100,1271,9,9,280.8
25,92,0,15,15,0,0,0,0,0,250,1195,10,54,43,171,1,11,241.6
29,159,3,17,6,0,0,0,0,0,2,-1,0,111,88,884,8,8,222.3
29,68,3,17,13,0,0,0,0,0,4,5,0,69,55,673,11,11,188.8
22,0,0,17,3,0,0,0,0,0,207,1122,8,52,47,392,0,8,244.4
29,87,0,14,14,0,0,0,0,0,228,950,6,89,68,543,2,8,265.3
30,119,0,17,17,0,0,0,0,0,255,1138,5,62,51,408,2,7,241.6
30,40,2,17,17,390,539,4629,37,12,35,56,0,1,1,7,1,1,324.5
27,32,0,14,14,1,1,3,1,0,185,775,12,38,36,341,0,12,221.7
31,9,1,14,14,0,0,0,0,0,0,0,0,110,74,1004,11,11,240.4
23,19,0,16,16,0,0,0,0,0,209,876,5,76,57,483,3,8,240.9
21,0,1,15,13,0,1,0,0,0,5,2,0,170,109,1204,7,7,273.6
24,0,2,17,17,376,567,3775,29,12,92,430,4,1,1,2,1,5,317.2
26,5,2,15,15,248,361,2903,18,5,150,630,14,0,0,0,0,14,315.1
25,2,1,15,15,0,0,0,0,0,14,70,0,152,101,1194,6,6,263.4
23,11,3,16,16,0,0,0,0,0,0,0,0,83,60,726,7,7,174.6
29,74,1,17,13,2,2,30,1,0,0,0,0,135,81,1081,8,8,240.3
23,0,1,16,14,0,0,0,0,0,0,0,0,112,82,1149,7,7,240.9
24,219,3,17,17,0,0,0,0,0,3,6,0,70,50,707,7,7,163.3
34,301,3,17,17,0,0,0,0,0,0,0,0,91,66,654,7,7,177.4
32,34,1,14,14,0,0,0,0,0,0,0,0,141,85,1063,8,8,241.3
27,318,2,17,17,361,545,4319,35,12,67,212,1,0,0,0,0,1,308
23,205,1,15,11,0,0,0,0,0,11,61,1,91,58,1001,7,8,212.2
25,73,0,17,17,0,0,0,0,0,253,959,6,52,42,386,0,6,214.5
22,138,1,17,16,1,1,35,0,0,5,26,0,137,100,1130,6,6,253
25,137,1,17,16,0,0,0,0,0,0,0,0,145,90,1229,4,4,240.9
24,112,1,17,17,0,0,0,0,0,2,5,0,154,101,1104,7,7,251.9
26,65,0,17,17,0,0,0,0,0,263,1043,6,48,36,283,0,6,204.6
22,47,1,15,15,0,0,0,0,0,3,20,1,99,63,875,9,10,212.5
27,20,1,13,13,0,0,0,0,0,0,0,0,97,67,1079,7,7,216.9
25,130,1,12,9,0,0,0,0,0,0,0,0,109,73,911,10,10,222.1
26,226,3,17,11,0,0,0,0,0,0,0,0,78,65,653,7,7,168.3
27,91,2,17,17,372,541,3851,21,11,78,572,5,0,0,0,0,5,297.2
35,26,3,16,16,0,0,0,0,0,1,1,0,133,97,823,3,3,195.4
25,23,1,12,12,0,0,0,0,0,0,0,0,99,68,1006,7,7,210.6
24,45,1,17,10,0,0,0,0,0,20,163,1,75,55,857,6,7,197
26,405,0,13,11,0,0,0,0,0,195,905,9,38,32,153,0,9,191.8
27,63,0,16,16,0,0,0,0,0,260,1079,5,57,41,238,0,5,200.7
26,156,0,16,15,0,0,0,0,0,235,1079,2,49,39,249,3,5,197.8
27,15,1,17,17,0,1,0,0,0,14,75,0,140,98,966,6,6,238.1
30,4,1,17,17,0,0,0,0,0,8,53,0,123,81,959,6,6,218.2
24,101,1,17,15,0,0,0,0,0,9,56,0,116,74,1059,4,4,209.5
22,0,1,17,16,0,0,0,0,0,0,0,0,116,62,885,8,8,196.5
30,44,1,17,14,0,0,0,0,0,8,55,1,120,64,1017,4,5,199.2
27,267,1,15,10,0,0,0,0,0,0,0,0,113,77,975,6,6,210.5
26,81,2,17,17,332,504,3870,23,3,69,306,2,0,0,0,0,2,285.4
26,54,1,13,13,0,0,0,0,0,1,1,0,89,68,833,8,8,199.4
28,51,1,15,15,0,0,0,0,0,2,23,0,129,87,1027,4,4,218
29,50,2,16,16,392,581,3928,26,11,58,307,2,1,1,2,0,2,283
25,31,2,15,15,300,455,3864,20,12,66,323,5,0,0,0,0,5,266.9
34,83,2,17,17,407,578,4320,21,15,53,272,2,0,0,0,0,2,266
41,601,2,17,17,368,584,3897,28,11,22,107,0,0,0,0,0,0,256.6
23,0,2,17,17,351,562,3541,20,6,81,489,0,0,0,0,0,0,254.5
26,18,2,15,15,268,425,3389,25,11,25,83,1,0,0,0,0,1,233.9
23,58,2,17,17,336,532,3727,20,12,52,233,0,1,0,0,0,0,220.4
36,79,2,16,16,340,517,3762,20,8,30,41,0,0,0,0,0,0,214.6
23,88,2,14,12,234,384,2403,15,9,43,249,6,0,0,0,0,6,195
